CBSA,CBSA Code,Pop Density,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NY-NYC,35620,"9,261.47",-3.11%,-1.79%,0.19%,1.19%,1.25%,2.08%,2.62%,1.62%,1.63%,1.16%,-0.08%,-0.52%,-0.28%,1.68%,1.95%,1.21%,0.64%,0.56%,-3.20%,-0.29%,0.33%,0.92%,0.93%,1.71%,1.78%,0.71%,1.42%
NY-NYC Suburban,35620,299.94,-1.59%,-1.82%,0.24%,1.19%,2.25%,3.29%,2.84%,0.89%,1.81%,5.37%,0.91%,1.28%,0.68%,1.31%,1.63%,1.46%,0.18%,0.31%,-3.23%,-1.99%,-0.45%,0.12%,-0.02%,0.90%,1.17%,0.51%,0.81%
NY-NYC Urban,35620,12058.95,-3.21%,-1.79%,0.19%,1.19%,1.19%,2.00%,2.60%,1.67%,1.62%,0.88%,-0.15%,-0.64%,-0.35%,1.70%,1.97%,1.19%,0.67%,0.58%,-3.20%,-0.17%,0.38%,0.97%,1.00%,1.77%,1.82%,0.72%,1.46%
CA-LA,31080,3113.65,-3.15%,-2.22%,-1.88%,0.07%,0.74%,1.20%,3.70%,3.20%,1.93%,2.23%,1.16%,-0.73%,0.03%,1.12%,1.74%,1.14%,0.61%,-1.20%,-4.73%,-1.85%,0.78%,1.45%,2.18%,2.27%,1.75%,2.11%,2.04%
CA-LA Suburban,31080,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-LA Urban,31080,3113.65,-3.15%,-2.22%,-1.88%,0.07%,0.74%,1.20%,3.70%,3.20%,1.93%,2.23%,1.16%,-0.73%,0.03%,1.12%,1.74%,1.14%,0.61%,-1.20%,-4.73%,-1.85%,0.78%,1.45%,2.18%,2.27%,1.75%,2.11%,2.04%
IL-Chicago,16980,"1,314.16",-1.41%,0.86%,1.64%,2.98%,2.17%,1.26%,1.32%,1.02%,2.12%,1.01%,-1.11%,-3.12%,-0.56%,0.71%,1.09%,3.21%,1.75%,-0.97%,-4.76%,-0.51%,0.45%,1.39%,0.39%,1.69%,1.48%,0.89%,0.66%
IL-Chicago Suburban,16980,482.93,0.45%,2.46%,3.68%,4.67%,5.54%,3.51%,2.30%,2.80%,3.91%,4.04%,1.51%,-0.08%,2.37%,3.64%,3.25%,5.64%,2.99%,-0.01%,-4.34%,-3.19%,0.77%,1.30%,0.31%,1.92%,1.90%,0.87%,1.23%
IL-Chicago Urban,16980,"2,810.36",-1.75%,0.57%,1.25%,2.65%,1.51%,0.79%,1.12%,0.63%,1.73%,0.34%,-1.71%,-3.84%,-1.28%,-0.03%,0.51%,2.55%,1.40%,-1.24%,-4.89%,0.27%,0.37%,1.41%,0.42%,1.63%,1.36%,0.90%,0.50%
TX-Dallas,19100,696.73,-0.12%,1.10%,2.35%,3.50%,2.80%,3.19%,3.87%,2.76%,3.10%,1.65%,0.41%,-0.92%,0.03%,1.74%,2.14%,2.44%,1.29%,0.61%,-1.81%,3.25%,2.80%,2.44%,2.25%,2.61%,2.19%,3.41%,3.22%
TX-Dallas Suburban,19100,309.52,1.13%,2.96%,4.34%,6.23%,5.09%,5.81%,6.87%,5.31%,5.92%,6.84%,2.88%,1.37%,2.24%,3.69%,4.16%,4.38%,2.97%,1.56%,-1.08%,3.43%,3.15%,2.60%,2.91%,3.74%,3.63%,3.83%,4.44%
TX-Dallas Urban,19100,"1,987.43",-0.49%,0.56%,1.75%,2.66%,2.07%,2.33%,2.85%,1.86%,2.07%,-0.31%,-0.58%,-1.87%,-0.92%,0.87%,1.21%,1.52%,0.48%,0.13%,-2.18%,3.16%,2.62%,2.35%,1.91%,2.02%,1.43%,3.19%,2.56%
TX-Houston,26420,708.57,1.74%,0.99%,1.64%,2.28%,2.07%,1.40%,2.68%,3.26%,0.96%,0.00%,1.54%,1.27%,0.81%,1.31%,2.14%,3.25%,2.44%,1.92%,-0.83%,4.11%,2.89%,3.68%,3.05%,2.64%,0.76%,0.56%,1.48%
TX-Houston Suburban,26420,285.21,3.34%,1.70%,3.15%,2.97%,2.53%,1.72%,2.53%,3.16%,1.33%,5.31%,2.38%,2.53%,2.08%,2.61%,3.26%,2.31%,2.83%,2.90%,-0.54%,5.86%,3.02%,3.84%,3.69%,3.46%,1.53%,0.52%,2.57%
TX-Houston Urban,26420,"2,190.30",1.36%,0.82%,1.28%,2.11%,1.96%,1.32%,2.72%,3.28%,0.86%,-1.33%,1.32%,0.92%,0.46%,0.94%,1.82%,3.53%,2.33%,1.64%,-0.91%,3.61%,2.86%,3.63%,2.85%,2.40%,0.52%,0.57%,1.15%
MD-DC-VA,47900,"2,610.65",-0.24%,0.82%,0.35%,2.43%,0.43%,-0.35%,0.85%,2.04%,2.91%,3.23%,0.88%,0.52%,0.88%,1.76%,2.72%,2.28%,1.31%,1.40%,-1.79%,1.97%,1.75%,1.52%,0.91%,0.71%,0.98%,1.88%,2.39%
MD-DC-VA Suburban,47900,385.53,1.73%,2.90%,2.28%,4.99%,3.16%,2.45%,2.75%,4.03%,4.21%,7.10%,3.53%,3.05%,3.70%,4.31%,5.12%,4.02%,2.04%,1.94%,-2.36%,-0.63%,2.04%,1.12%,1.09%,1.16%,1.20%,1.77%,3.41%
MD-DC-VA Urban,47900,"4,493.44",-0.58%,0.46%,0.01%,1.97%,-0.07%,-0.89%,0.47%,1.63%,2.64%,2.41%,0.30%,-0.06%,0.22%,1.13%,2.11%,1.83%,1.12%,1.26%,-1.64%,2.67%,1.67%,1.63%,0.86%,0.59%,0.92%,1.91%,2.13%
PA-Philadelphia,37980,"2,148.24",-1.83%,-0.93%,0.25%,1.03%,0.51%,1.93%,2.06%,1.24%,0.70%,-0.22%,0.42%,-0.42%,-0.53%,0.69%,1.27%,1.37%,0.58%,0.54%,-3.49%,0.23%,0.52%,0.81%,0.40%,1.27%,1.85%,1.48%,0.38%
PA-Philadelphia Suburban,37980,522.6,-0.16%,-1.26%,0.30%,2.09%,2.57%,3.53%,3.06%,1.77%,1.49%,-0.99%,0.50%,1.23%,0.76%,2.30%,2.22%,2.03%,0.62%,0.62%,-3.41%,-1.81%,0.26%,0.56%,0.38%,0.65%,1.75%,1.24%,0.67%
PA-Philadelphia Urban,37980,"3,502.93",-2.30%,-0.83%,0.24%,0.73%,-0.08%,1.45%,1.75%,1.08%,0.45%,0.03%,0.40%,-0.93%,-0.93%,0.17%,0.96%,1.16%,0.56%,0.52%,-3.51%,0.92%,0.61%,0.89%,0.41%,1.47%,1.88%,1.55%,0.29%
FL-Miami,33100,"1,143.53",-1.11%,0.61%,3.01%,3.33%,2.22%,2.52%,3.24%,1.92%,1.40%,4.07%,1.89%,-0.60%,0.88%,2.81%,4.10%,3.66%,1.58%,-1.63%,-6.71%,-0.75%,3.21%,3.16%,2.12%,2.77%,1.12%,2.54%,3.30%
FL-Miami Suburban,33100,670.2,-0.40%,0.20%,2.90%,3.42%,2.02%,3.40%,4.10%,3.67%,2.49%,3.97%,3.89%,1.04%,1.28%,2.70%,2.21%,3.05%,0.30%,-2.05%,-6.19%,4.59%,2.14%,2.96%,3.21%,3.38%,1.55%,3.24%,2.76%
FL-Miami Urban,33100,"1,380.20",-1.30%,0.72%,3.04%,3.30%,2.27%,2.30%,3.01%,1.45%,1.10%,4.10%,1.34%,-1.07%,0.76%,2.84%,4.65%,3.83%,1.94%,-1.51%,-6.85%,-2.24%,3.52%,3.22%,1.80%,2.59%,1.00%,2.33%,3.47%
GA-Atlanta,12060,666.38,0.06%,2.16%,4.43%,5.23%,3.57%,4.87%,4.64%,4.65%,3.28%,2.43%,1.34%,-0.22%,0.96%,1.49%,2.67%,3.78%,3.18%,-0.46%,-5.94%,-0.49%,1.92%,2.36%,1.08%,1.86%,2.41%,3.89%,3.88%
GA-Atlanta Suburban,12060,302,1.22%,2.85%,4.86%,6.63%,5.10%,6.81%,6.79%,6.58%,5.17%,3.11%,2.83%,1.72%,2.69%,3.00%,4.56%,4.32%,4.29%,0.71%,-5.72%,1.84%,1.37%,1.65%,1.31%,2.07%,2.59%,3.92%,4.50%
