Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
NY-NYC Suburban,40.7128,-74.006,35620,299.94,-1.59,-1.82,0.24,1.19,2.25,3.29,2.84,0.89,1.81,5.37,0.91,1.28,0.68,1.31,1.63,1.46,0.18,0.31,-3.23,-1.99,-0.45,0.12,-0.02,0.9,1.17,0.51,0.81
CA-LA Suburban,34.0522,-118.2437,31080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-Chicago Suburban,41.8781,-87.6298,16980,482.93,0.45,2.46,3.68,4.67,5.54,3.51,2.3,2.8,3.91,4.04,1.51,-0.08,2.37,3.64,3.25,5.64,2.99,-0.01,-4.34,-3.19,0.77,1.3,0.31,1.92,1.9,0.87,1.23
TX-Dallas Suburban,32.7767,-96.797,19100,309.52,1.13,2.96,4.34,6.23,5.09,5.81,6.87,5.31,5.92,6.84,2.88,1.37,2.24,3.69,4.16,4.38,2.97,1.56,-1.08,3.43,3.15,2.6,2.91,3.74,3.63,3.83,4.44
TX-Houston Suburban,29.7604,-95.3698,26420,285.21,3.34,1.7,3.15,2.97,2.53,1.72,2.53,3.16,1.33,5.31,2.38,2.53,2.08,2.61,3.26,2.31,2.83,2.9,-0.54,5.86,3.02,3.84,3.69,3.46,1.53,0.52,2.57
MD-DC-VA Suburban,38.9072,-77.0369,47900,385.53,1.73,2.9,2.28,4.99,3.16,2.45,2.75,4.03,4.21,7.1,3.53,3.05,3.7,4.31,5.12,4.02,2.04,1.94,-2.36,-0.63,2.04,1.12,1.09,1.16,1.2,1.77,3.41
PA-Philadelphia Suburban,39.9526,-75.1652,37980,522.6,-0.16,-1.26,0.3,2.09,2.57,3.53,3.06,1.77,1.49,-0.99,0.5,1.23,0.76,2.3,2.22,2.03,0.62,0.62,-3.41,-1.81,0.26,0.56,0.38,0.65,1.75,1.24,0.67
FL-Miami Suburban,25.7617,-80.1918,33100,670.2,-0.4,0.2,2.9,3.42,2.02,3.4,4.1,3.67,2.49,3.97,3.89,1.04,1.28,2.7,2.21,3.05,0.3,-2.05,-6.19,4.59,2.14,2.96,3.21,3.38,1.55,3.24,2.76
GA-Atlanta Suburban,33.749,-84.388,12060,302,1.22,2.85,4.86,6.63,5.1,6.81,6.79,6.58,5.17,3.11,2.83,1.72,2.69,3,4.56,4.32,4.29,0.71,-5.72,1.84,1.37,1.65,1.31,2.07,2.59,3.92,4.5
MA-Boston Suburban,42.3601,-71.0589,14460,503.2,-2.76,-0.14,2.75,3.2,1.51,1.76,2.94,1.83,3.21,-0.27,0.8,0.05,0.32,1.17,1.11,0.28,1.05,-0.02,-2.13,-0.71,0.55,0.86,0.94,1.73,1.82,1.87,1.25
CA-San Francisco Suburban,37.7749,-122.4194,41860,485.1,-2.25,-1.34,0.1,-0.63,-1.03,1.79,2.29,2.01,1.44,4.85,-2.02,-5.22,-2.93,-0.66,0.51,1.51,0.89,-0.87,-3.11,0.42,1.82,2.81,2.27,1.45,1.1,1.42,0.57
AZ-Phoenix Suburban,33.4484,-112.074,38060,242.45,-0.74,1.25,5.21,8.46,7.78,4.21,2.82,4.66,3.78,1.03,2.56,2.13,2.51,3.2,4.27,4.61,2,-0.53,-4.01,-1.29,-0.34,1.38,1.52,3.43,3.78,3.53,3.28
CA-Riverside Suburban,33.9806,-117.3755,40140,202.65,-1.06,2.49,0.76,2.23,2.15,2.18,4.35,3.71,5.41,-1.17,3.42,3.07,2.78,4.9,4.1,2.57,0.36,-2.13,-4.99,4.29,0.78,2.39,2.66,3.38,3.62,2.29,2.76
MI-Detroit Suburban,42.3314,-83.0458,19820,289.4,-0.19,4.23,3.06,3.11,1.72,3.22,2.6,3.53,3.09,7.99,-2.61,-1.62,0.52,0.81,1.31,-0.58,-1.89,-3.76,-7.86,-0.42,0.14,1.41,1.58,1.62,2.55,2.72,3.17
WA-Seattle Suburban,83.0458,-122.3321,42660,577,-0.33,2.59,1.45,1.36,1.87,3.18,5.07,2.64,0.76,-0.78,-0.99,-1.34,0.71,2.5,2.89,3.5,2.9,1.4,-2.57,-1.35,0.62,2.5,2.31,2.24,2.06,3.02,2.5
MI-Minneapolis Suburban,44.9778,-93.265,33460,298.56,1.89,3.67,3.66,4.5,3.91,3.49,3.2,3.18,3.13,1.89,1.4,0.89,1.88,2.04,2.18,1.43,-0.04,-0.09,-2.74,0.67,1.44,0.98,1.37,1.35,0.86,1.09,3.17
CA-San Diego Suburban,32.7157,-117.1611,41740,735.8,-2.35,-0.46,-0.21,1.42,0.53,2.17,4.25,3.72,3.38,1.1,1.99,1.46,0.95,1.93,1.19,0.78,0.66,0.43,-3.05,-3.98,1.11,2.39,1.62,1.54,2.07,1.53,1.62
