Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
NY-NYC,40.7128,-74.006,35620,"9,261.47",-3.11,-1.79,0.19,1.19,1.25,2.08,2.62,1.62,1.63,1.16,-0.08,-0.52,-0.28,1.68,1.95,1.21,0.64,0.56,-3.2,-0.29,0.33,0.92,0.93,1.71,1.78,0.71,1.42
CA-LA,34.0522,-118.2437,31080,3113.65,-3.15,-2.22,-1.88,0.07,0.74,1.2,3.7,3.2,1.93,2.23,1.16,-0.73,0.03,1.12,1.74,1.14,0.61,-1.2,-4.73,-1.85,0.78,1.45,2.18,2.27,1.75,2.11,2.04
IL-Chicago,41.8781,-87.6298,16980,"1,314.16",-1.41,0.86,1.64,2.98,2.17,1.26,1.32,1.02,2.12,1.01,-1.11,-3.12,-0.56,0.71,1.09,3.21,1.75,-0.97,-4.76,-0.51,0.45,1.39,0.39,1.69,1.48,0.89,0.66
TX-Dallas,32.7767,-96.797,19100,696.73,-0.12,1.1,2.35,3.5,2.8,3.19,3.87,2.76,3.1,1.65,0.41,-0.92,0.03,1.74,2.14,2.44,1.29,0.61,-1.81,3.25,2.8,2.44,2.25,2.61,2.19,3.41,3.22
TX-Houston,29.7604,-95.3698,26420,708.57,1.74,0.99,1.64,2.28,2.07,1.4,2.68,3.26,0.96,0,1.54,1.27,0.81,1.31,2.14,3.25,2.44,1.92,-0.83,4.11,2.89,3.68,3.05,2.64,0.76,0.56,1.48
MD-DC-VA,38.9072,-77.0369,47900,"2,610.65",-0.24,0.82,0.35,2.43,0.43,-0.35,0.85,2.04,2.91,3.23,0.88,0.52,0.88,1.76,2.72,2.28,1.31,1.4,-1.79,1.97,1.75,1.52,0.91,0.71,0.98,1.88,2.39
PA-Philadelphia,39.9526,-75.1652,37980,"2,148.24",-1.83,-0.93,0.25,1.03,0.51,1.93,2.06,1.24,0.7,-0.22,0.42,-0.42,-0.53,0.69,1.27,1.37,0.58,0.54,-3.49,0.23,0.52,0.81,0.4,1.27,1.85,1.48,0.38
FL-Miami,25.7617,-80.1918,33100,"1,143.53",-1.11,0.61,3.01,3.33,2.22,2.52,3.24,1.92,1.4,4.07,1.89,-0.6,0.88,2.81,4.1,3.66,1.58,-1.63,-6.71,-0.75,3.21,3.16,2.12,2.77,1.12,2.54,3.3
GA-Atlanta,33.749,-84.388,12060,666.38,0.06,2.16,4.43,5.23,3.57,4.87,4.64,4.65,3.28,2.43,1.34,-0.22,0.96,1.49,2.67,3.78,3.18,-0.46,-5.94,-0.49,1.92,2.36,1.08,1.86,2.41,3.89,3.88
MA-Boston,42.3601,-71.0589,14460,"3,493.13",-2.85,-0.44,1.33,1.98,1.74,2.01,2.54,1.83,1.07,-1.64,0.45,-0.84,-1.04,-0.17,0.21,0.96,1.13,0.18,-2.11,1.03,1.03,1.24,0.93,2.26,1.88,1.72,1.9
CA-San Francisco,37.7749,-122.4194,41860,"4,555.06",-2.2,-0.54,0.04,0.83,-0.3,1.88,3.09,1.98,1.96,5.91,-0.96,-3.76,-2.51,-0.52,0.17,1.02,1.56,0.79,-3.46,2.45,1.98,3.47,2.37,2.71,2.96,2.5,1.73
AZ-Phoenix,33.4484,-112.074,38060,242.45,-0.74,1.25,5.21,8.46,7.78,4.21,2.82,4.66,3.78,1.03,2.56,2.13,2.51,3.2,4.27,4.61,2,-0.53,-4.01,-1.29,-0.34,1.38,1.52,3.43,3.78,3.53,3.28
CA-Riverside,33.9806,-117.3755,40140,202.65,-1.06,2.49,0.76,2.23,2.15,2.18,4.35,3.71,5.41,-1.17,3.42,3.07,2.78,4.9,4.1,2.57,0.36,-2.13,-4.99,4.29,0.78,2.39,2.66,3.38,3.62,2.29,2.76
MI-Detroit,42.3314,-83.0458,19820,"1,163.87",-1.83,2.27,2.6,2.14,0.77,2.19,1.35,1.71,1.48,0.49,-3.42,-3.37,-0.72,-0.15,0.23,-1.05,-1.71,-3.37,-7.26,-1.04,0.06,1.72,1.52,1.67,2.29,2.67,3.17
WA-Seattle,83.0458,-122.3321,42660,577,-0.33,2.59,1.45,1.36,1.87,3.18,5.07,2.64,0.76,-0.78,-0.99,-1.34,0.71,2.5,2.89,3.5,2.9,1.4,-2.57,-1.35,0.62,2.5,2.31,2.24,2.06,3.02,2.5
MI-Minneapolis,44.9778,-93.265,33460,600.19,0.43,1.97,2.01,3.04,2.67,1.68,1.99,2.09,1.96,1.01,0.21,-0.56,0.54,0.74,0.96,0.44,0.21,-0.4,-2.71,0.15,1.62,1.17,1.5,1.37,0.85,1.08,3.13
CA-San Diego ,32.7157,-117.1611,41740,735.8,-2.35,-0.46,-0.21,1.42,0.53,2.17,4.25,3.72,3.38,1.1,1.99,1.46,0.95,1.93,1.19,0.78,0.66,0.43,-3.05,-3.98,1.11,2.39,1.62,1.54,2.07,1.53,1.62
FL-Tampa Bay,27.7634,-82.5437,45300,"1,385.05",-1.49,1.1,3.18,5.12,2.46,1.57,3.9,3.6,2.85,-4.32,0.31,-0.93,0.8,3.75,0.35,2.67,0.22,-2.05,-5.37,6.8,2.28,2.81,2.1,2,1.23,3.11,3.14
CO-Denver,39.7392,-104.9903,19740,"1,035.60",1.5,1.81,4.87,6.02,4.07,0.63,3.86,4.22,2.2,1.3,-1.18,-0.96,1.78,1.95,1.56,2.69,2.11,1.32,-2.72,0.87,0.97,1.82,2.64,3.55,2.38,2.68,3.61
