Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
NY-NYC Urban,40.7128,-74.006,35620,12058.95,-3.21%,-1.79%,0.19%,1.19%,1.19%,2.00%,2.60%,1.67%,1.62%,0.88%,-0.15%,-0.64%,-0.35%,1.70%,1.97%,1.19%,0.67%,0.58%,-3.20%,-0.17%,0.38%,0.97%,1.00%,1.77%,1.82%,0.72%,1.46%
CA-LA Urban,34.0522,-118.2437,31080,3113.65,-3.15%,-2.22%,-1.88%,0.07%,0.74%,1.20%,3.70%,3.20%,1.93%,2.23%,1.16%,-0.73%,0.03%,1.12%,1.74%,1.14%,0.61%,-1.20%,-4.73%,-1.85%,0.78%,1.45%,2.18%,2.27%,1.75%,2.11%,2.04%
IL-Chicago Urban,41.8781,-87.6298,16980,"2,810.36",-1.75%,0.57%,1.25%,2.65%,1.51%,0.79%,1.12%,0.63%,1.73%,0.34%,-1.71%,-3.84%,-1.28%,-0.03%,0.51%,2.55%,1.40%,-1.24%,-4.89%,0.27%,0.37%,1.41%,0.42%,1.63%,1.36%,0.90%,0.50%
TX-Dallas Urban,32.7767,-96.797,19100,"1,987.43",-0.49%,0.56%,1.75%,2.66%,2.07%,2.33%,2.85%,1.86%,2.07%,-0.31%,-0.58%,-1.87%,-0.92%,0.87%,1.21%,1.52%,0.48%,0.13%,-2.18%,3.16%,2.62%,2.35%,1.91%,2.02%,1.43%,3.19%,2.56%
TX-Houston Urban,29.7604,-95.3698,26420,"2,190.30",1.36%,0.82%,1.28%,2.11%,1.96%,1.32%,2.72%,3.28%,0.86%,-1.33%,1.32%,0.92%,0.46%,0.94%,1.82%,3.53%,2.33%,1.64%,-0.91%,3.61%,2.86%,3.63%,2.85%,2.40%,0.52%,0.57%,1.15%
MD-DC-VA Urban,38.9072,-77.0369,47900,"4,493.44",-0.58%,0.46%,0.01%,1.97%,-0.07%,-0.89%,0.47%,1.63%,2.64%,2.41%,0.30%,-0.06%,0.22%,1.13%,2.11%,1.83%,1.12%,1.26%,-1.64%,2.67%,1.67%,1.63%,0.86%,0.59%,0.92%,1.91%,2.13%
PA-Philadelphia Urban,39.9526,-75.1652,37980,"3,502.93",-2.30%,-0.83%,0.24%,0.73%,-0.08%,1.45%,1.75%,1.08%,0.45%,0.03%,0.40%,-0.93%,-0.93%,0.17%,0.96%,1.16%,0.56%,0.52%,-3.51%,0.92%,0.61%,0.89%,0.41%,1.47%,1.88%,1.55%,0.29%
FL-Miami Urban,25.7617,-80.1918,33100,"1,380.20",-1.30%,0.72%,3.04%,3.30%,2.27%,2.30%,3.01%,1.45%,1.10%,4.10%,1.34%,-1.07%,0.76%,2.84%,4.65%,3.83%,1.94%,-1.51%,-6.85%,-2.24%,3.52%,3.22%,1.80%,2.59%,1.00%,2.33%,3.47%
GA-Atlanta Urban,33.749,-84.388,12060,"1,811.57",-0.30%,1.95%,4.30%,4.79%,3.09%,4.25%,3.92%,4.00%,2.62%,2.18%,0.81%,-0.93%,0.30%,0.91%,1.92%,3.56%,2.73%,-0.94%,-6.03%,-1.47%,2.16%,2.66%,0.98%,1.77%,2.33%,3.88%,3.62%
MA-Boston Urban,42.3601,-71.0589,14460,"5,735.58",-2.87%,-0.51%,1.00%,1.70%,1.80%,2.07%,2.45%,1.84%,0.55%,-1.97%,0.36%,-1.06%,-1.38%,-0.52%,-0.03%,1.13%,1.15%,0.23%,-2.10%,1.48%,1.15%,1.34%,0.92%,2.40%,1.90%,1.68%,2.06%
CA-San Francisco Urban,37.7749,-122.4194,41860,"5,572.55",-2.19%,-0.49%,0.03%,0.93%,-0.25%,1.89%,3.15%,1.98%,1.99%,5.99%,-0.89%,-3.66%,-2.48%,-0.52%,0.15%,0.99%,1.61%,0.90%,-3.48%,2.58%,1.99%,3.51%,2.37%,2.78%,3.07%,2.56%,1.80%
AZ-Phoenix Urban,33.4484,-112.074,38060,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-Riverside Urban,33.9806,-117.3755,40140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-Detroit Urban,42.3314,-83.0458,19820,"2,038.33",-1.98%,2.10%,2.56%,2.05%,0.69%,2.09%,1.23%,1.54%,1.32%,-0.26%,-3.51%,-3.56%,-0.86%,-0.26%,0.11%,-1.10%,-1.69%,-3.32%,-7.19%,-1.11%,0.05%,1.75%,1.52%,1.67%,2.26%,2.66%,3.17%
WA-Seattle Urban,83.0458,-122.3321,42660,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
