Region,CBSA Code,Pop Density,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NY-NYC,35620,"9,261.47","8,230,963","7,975,111","7,832,419","7,847,625","7,940,861","8,040,477","8,207,411","8,422,222","8,558,626","8,698,227","8,799,276","8,792,113","8,746,683","8,722,420","8,868,772","9,041,419","9,150,840","9,209,512","9,260,954","8,964,855","8,939,117","8,968,186","9,050,359","9,134,792","9,291,397","9,456,722","9,523,594","9,659,191"
NY-NYC Suburban,35620,299.94,"496,011","488,149","479,282","480,426","486,151","497,080","513,455","528,049","532,751","542,377","571,500","576,713","584,089","588,044","595,728","605,452","614,281","615,365","617,260","597,328","585,419","582,793","583,492","583,369","588,626","595,542","598,601","603,454"
NY-NYC Urban,35620,12058.95,"7,734,952","7,486,962","7,353,137","7,367,199","7,454,710","7,543,397","7,693,956","7,894,173","8,025,875","8,155,850","8,227,776","8,215,400","8,162,594","8,134,376","8,273,044","8,435,967","8,536,559","8,594,147","8,643,694","8,367,527","8,353,698","8,385,393","8,466,867","8,551,423","8,702,771","8,861,180","8,924,993","9,055,737"
CA-LA,31080,3113.65,"5,538,817","5,364,533","5,245,428","5,146,641","5,150,322","5,188,655","5,251,041","5,445,480","5,619,635","5,727,923","5,855,725","5,923,637","5,880,453","5,882,405","5,948,080","6,051,809","6,121,036","6,158,479","6,084,764","5,796,869","5,689,712","5,734,334","5,817,662","5,944,431","6,079,645","6,186,181","6,316,785","6,445,841"
CA-LA Suburban,31080,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
CA-LA Urban,31080,3113.65,"5,538,817","5,364,533","5,245,428","5,146,641","5,150,322","5,188,655","5,251,041","5,445,480","5,619,635","5,727,923","5,855,725","5,923,637","5,880,453","5,882,405","5,948,080","6,051,809","6,121,036","6,158,479","6,084,764","5,796,869","5,689,712","5,734,334","5,817,662","5,944,431","6,079,645","6,186,181","6,316,785","6,445,841"
IL-Chicago,16980,"1,314.16","4,011,178","3,954,544","3,988,698","4,053,936","4,174,780","4,265,346","4,318,892","4,375,965","4,420,386","4,514,237","4,559,774","4,509,291","4,368,814","4,344,275","4,375,317","4,422,922","4,565,086","4,644,985","4,599,924","4,380,851","4,358,423","4,378,217","4,438,862","4,456,355","4,531,885","4,598,815","4,639,861","4,670,693"
IL-Chicago Suburban,16980,482.93,"615,072","617,865","633,056","656,348","687,029","725,066","750,524","767,808","789,331","820,205","853,326","866,195","865,536","886,006","918,248","948,102","1,001,559","1,031,507","1,031,367","986,646","955,193","962,526","975,055","978,074","996,879","1,015,852","1,024,655","1,037,302"
IL-Chicago Urban,16980,"2,810.36","3,396,106","3,336,679","3,355,642","3,397,588","3,487,751","3,540,280","3,568,368","3,608,157","3,631,055","3,694,032","3,706,448","3,643,096","3,503,278","3,458,269","3,457,069","3,474,820","3,563,527","3,613,478","3,568,557","3,394,205","3,403,230","3,415,691","3,463,807","3,478,281","3,535,006","3,582,963","3,615,206","3,633,391"
TX-Dallas,19100,696.73,"2,183,945","2,181,233","2,205,277","2,257,060","2,336,110","2,401,437","2,478,006","2,573,896","2,644,959","2,726,834","2,771,958","2,783,449","2,757,964","2,758,848","2,806,821","2,866,914","2,936,864","2,974,885","2,992,925","2,938,619","3,034,170","3,119,142","3,195,171","3,267,121","3,352,342","3,425,871","3,542,856","3,657,045"
TX-Dallas Suburban,19100,309.52,"488,874","494,410","509,049","531,160","564,255","592,972","627,398","670,469","706,054","747,872","799,036","822,043","833,269","851,907","883,320","920,067","960,335","988,821","1,004,268","993,374","1,027,398","1,059,734","1,087,321","1,118,974","1,160,807","1,202,961","1,248,977","1,304,423"
TX-Dallas Urban,19100,"1,987.43","1,695,071","1,686,823","1,696,228","1,725,900","1,771,855","1,808,465","1,850,608","1,903,427","1,938,905","1,978,962","1,972,922","1,961,406","1,924,695","1,906,941","1,923,501","1,946,847","1,976,529","1,986,064","1,988,657","1,945,245","2,006,772","2,059,408","2,107,850","2,148,147","2,191,535","2,222,910","2,293,879","2,352,622"
TX-Houston,26420,708.57,"1,928,427","1,961,994","1,981,470","2,014,052","2,059,880","2,102,519","2,132,027","2,189,267","2,260,632","2,282,259","2,282,359","2,317,521","2,346,876","2,365,870","2,396,749","2,447,949","2,527,615","2,589,336","2,638,975","2,617,092","2,724,782","2,803,641","2,906,813","2,995,361","3,074,574","3,097,921","3,115,187","3,161,384"
TX-Houston Suburban,26420,285.21,"367,241","379,510","385,950","398,101","409,913","420,278","427,510","438,333","452,206","458,202","482,535","494,005","506,524","517,052","530,552","547,851","560,481","576,357","593,064","589,856","624,437","643,290","667,979","692,630","716,569","727,545","731,304","750,134"
TX-Houston Urban,26420,"2,190.30","1,561,186","1,582,484","1,595,520","1,615,951","1,649,967","1,682,241","1,704,517","1,750,934","1,808,426","1,824,057","1,799,824","1,823,516","1,840,352","1,848,818","1,866,197","1,900,098","1,967,134","2,012,979","2,045,911","2,027,236","2,100,345","2,160,351","2,238,834","2,302,731","2,358,005","2,370,376","2,383,883","2,411,250"
MD-DC-VA,47900,"2,610.65","2,318,227","2,312,557","2,331,562","2,339,722","2,396,689","2,407,095","2,398,674","2,419,072","2,468,369","2,540,198","2,622,299","2,645,479","2,659,121","2,682,627","2,729,744","2,803,967","2,867,910","2,905,565","2,946,321","2,893,545","2,950,675","3,002,209","3,047,895","3,075,647","3,097,435","3,127,737","3,186,599","3,262,831"
MD-DC-VA Suburban,47900,385.53,"335,770","341,590","351,508","359,527","377,463","389,374","398,917","409,892","426,414","444,376","475,940","492,740","507,779","526,573","549,264","577,409","600,633","612,882","624,801","610,036","606,167","618,523","625,473","632,306","639,650","647,348","658,818","681,310"
MD-DC-VA Urban,47900,"4,493.44","1,982,457","1,970,967","1,980,054","1,980,195","2,019,226","2,017,721","1,999,757","2,009,180","2,041,955","2,095,822","2,146,359","2,152,739","2,151,342","2,156,054","2,180,480","2,226,558","2,267,277","2,292,683","2,321,520","2,283,509","2,344,508","2,383,686","2,422,422","2,443,341","2,457,785","2,480,389","2,527,781","2,581,521"
PA-Philadelphia,37980,"2,148.24","2,613,900","2,566,129","2,542,310","2,548,708","2,575,008","2,588,257","2,638,147","2,692,372","2,725,852","2,744,803","2,738,839","2,750,458","2,738,962","2,724,568","2,743,368","2,778,245","2,816,438","2,832,642","2,848,034","2,748,764","2,755,208","2,769,630","2,792,073","2,803,326","2,838,879","2,891,463","2,934,124","2,945,307"
PA-Philadelphia Suburban,37980,522.6,"573,460","572,552","565,358","567,039","578,903","593,781","614,749","633,545","644,762","654,383","647,894","651,132","659,119","664,108","679,363","694,451","708,535","712,948","717,393","692,905","680,398","682,156","685,955","688,576","693,046","705,196","713,913","718,666"
PA-Philadelphia Urban,37980,"3,502.93","2,040,440","1,993,577","1,976,952","1,981,669","1,996,105","1,994,476","2,023,398","2,058,827","2,081,090","2,090,420","2,090,945","2,099,326","2,079,843","2,060,460","2,064,005","2,083,794","2,107,903","2,119,694","2,130,641","2,055,859","2,074,810","2,087,474","2,106,118","2,114,750","2,145,833","2,186,267","2,220,211","2,226,641"
FL-Miami,33100,"1,143.53","1,939,015","1,917,447","1,929,187","1,987,277","2,053,387","2,098,980","2,151,975","2,221,725","2,264,275","2,295,897","2,389,307","2,434,543","2,419,820","2,441,076","2,509,629","2,612,500","2,708,061","2,750,839","2,706,077","2,524,516","2,505,589","2,585,900","2,667,714","2,724,308","2,799,758","2,831,252","2,903,183","2,999,058"
FL-Miami Suburban,33100,670.2,"402,576","400,981","401,802","413,471","427,601","436,254","451,078","469,560","486,773","498,879","518,667","538,842","544,442","551,385","566,247","578,769","596,415","598,221","585,947","549,671","574,890","587,173","604,549","623,968","645,048","655,074","676,285","694,979"
FL-Miami Urban,33100,"1,380.20","1,536,439","1,516,466","1,527,385","1,573,806","1,625,786","1,662,726","1,700,897","1,752,165","1,777,502","1,797,018","1,870,640","1,895,701","1,875,378","1,889,691","1,943,382","2,033,731","2,111,646","2,152,618","2,120,130","1,974,845","1,930,699","1,998,727","2,063,165","2,100,340","2,154,710","2,176,178","2,226,898","2,304,079"
GA-Atlanta,12060,666.38,"1,626,482","1,627,393","1,662,579","1,736,273","1,827,085","1,892,304","1,984,534","2,076,565","2,173,226","2,244,468","2,298,990","2,329,894","2,324,881","2,347,175","2,382,161","2,445,674","2,538,144","2,618,826","2,606,824","2,452,059","2,440,040","2,486,895","2,545,478","2,573,040","2,620,912","2,684,067","2,788,478","2,896,739"
GA-Atlanta Suburban,12060,302,"377,799","382,418","393,336","412,442","439,778","462,197","493,682","527,204","561,899","590,936","609,334","626,550","637,355","654,507","674,120","704,885","735,361","766,895","772,303","728,091","741,458","751,649","764,080","774,127","790,147","810,643","842,410","880,293"
GA-Atlanta Urban,12060,"1,811.57","1,248,683","1,244,975","1,269,243","1,323,831","1,387,307","1,430,107","1,490,852","1,549,361","1,611,327","1,653,532","1,689,656","1,703,344","1,687,526","1,692,668","1,708,041","1,740,789","1,802,783","1,851,931","1,834,521","1,723,968","1,698,582","1,735,246","1,781,398","1,798,913","1,830,765","1,873,424","1,946,068","2,016,446"
MA-Boston,14460,"3,493.13","2,130,903","2,070,266","2,061,086","2,088,415","2,129,794","2,166,879","2,210,420","2,266,593","2,308,154","2,332,755","2,294,519","2,304,882","2,285,557","2,261,867","2,257,913","2,262,546","2,284,178","2,310,027","2,314,100","2,265,312","2,288,581","2,312,051","2,340,785","2,362,452","2,415,877","2,461,399","2,503,649","2,551,153"
MA-Boston Suburban,14460,503.2,"399,077","388,074","387,539","398,213","410,942","417,138","424,482","436,965","444,946","459,221","457,970","461,648","461,856","463,317","468,725","473,937","475,276","480,277","480,173","469,950","466,601","469,157","473,205","477,659","485,922","494,752","503,984","510,271"
