Region,Lat,Long,CBSA_Code,Year,Population
NY-NYC,40.7128,-74.006,35620,1990,"496,011"
NY-NYC,40.7128,-74.006,35620,1991,"488,149"
NY-NYC,40.7128,-74.006,35620,1992,"479,282"
NY-NYC,40.7128,-74.006,35620,1993,"480,426"
NY-NYC,40.7128,-74.006,35620,1994,"486,151"
NY-NYC,40.7128,-74.006,35620,1995,"497,080"
NY-NYC,40.7128,-74.006,35620,1996,"513,455"
NY-NYC,40.7128,-74.006,35620,1997,"528,049"
NY-NYC,40.7128,-74.006,35620,1998,"532,751"
NY-NYC,40.7128,-74.006,35620,1999,"542,377"
NY-NYC,40.7128,-74.006,35620,2000,"571,500"
NY-NYC,40.7128,-74.006,35620,2001,"576,713"
NY-NYC,40.7128,-74.006,35620,2002,"584,089"
NY-NYC,40.7128,-74.006,35620,2003,"588,044"
NY-NYC,40.7128,-74.006,35620,2004,"595,728"
NY-NYC,40.7128,-74.006,35620,2005,"605,452"
NY-NYC,40.7128,-74.006,35620,2006,"614,281"
NY-NYC,40.7128,-74.006,35620,2007,"615,365"
NY-NYC,40.7128,-74.006,35620,2008,"617,260"
NY-NYC,40.7128,-74.006,35620,2009,"597,328"
NY-NYC,40.7128,-74.006,35620,2010,"585,419"
NY-NYC,40.7128,-74.006,35620,2011,"582,793"
NY-NYC,40.7128,-74.006,35620,2012,"583,492"
NY-NYC,40.7128,-74.006,35620,2013,"583,369"
NY-NYC,40.7128,-74.006,35620,2014,"588,626"
NY-NYC,40.7128,-74.006,35620,2015,"595,542"
NY-NYC,40.7128,-74.006,35620,2016,"598,601"
NY-NYC,40.7128,-74.006,35620,2017,"603,454"
CA-LA,34.0522,-118.2437,31080,1990,0
CA-LA,34.0522,-118.2437,31080,1991,0
CA-LA,34.0522,-118.2437,31080,1992,0
CA-LA,34.0522,-118.2437,31080,1993,0
CA-LA,34.0522,-118.2437,31080,1994,0
CA-LA,34.0522,-118.2437,31080,1995,0
CA-LA,34.0522,-118.2437,31080,1996,0
CA-LA,34.0522,-118.2437,31080,1997,0
CA-LA,34.0522,-118.2437,31080,1998,0
CA-LA,34.0522,-118.2437,31080,1999,0
CA-LA,34.0522,-118.2437,31080,2000,0
CA-LA,34.0522,-118.2437,31080,2001,0
CA-LA,34.0522,-118.2437,31080,2002,0
CA-LA,34.0522,-118.2437,31080,2003,0
CA-LA,34.0522,-118.2437,31080,2004,0
CA-LA,34.0522,-118.2437,31080,2005,0
CA-LA,34.0522,-118.2437,31080,2006,0
CA-LA,34.0522,-118.2437,31080,2007,0
CA-LA,34.0522,-118.2437,31080,2008,0
CA-LA,34.0522,-118.2437,31080,2009,0
CA-LA,34.0522,-118.2437,31080,2010,0
