Region,Lat,Long,CBSA_Code,Year,Population
NY-NYC,40.7128,-74.006,35620,1990,"8,230,963"
NY-NYC,40.7128,-74.006,35620,1991,"7,975,111"
NY-NYC,40.7128,-74.006,35620,1992,"7,832,419"
NY-NYC,40.7128,-74.006,35620,1993,"7,847,625"
NY-NYC,40.7128,-74.006,35620,1994,"7,940,861"
NY-NYC,40.7128,-74.006,35620,1995,"8,040,477"
NY-NYC,40.7128,-74.006,35620,1996,"8,207,411"
NY-NYC,40.7128,-74.006,35620,1997,"8,422,222"
NY-NYC,40.7128,-74.006,35620,1998,"8,558,626"
NY-NYC,40.7128,-74.006,35620,1999,"8,698,227"
NY-NYC,40.7128,-74.006,35620,2000,"8,799,276"
NY-NYC,40.7128,-74.006,35620,2001,"8,792,113"
NY-NYC,40.7128,-74.006,35620,2002,"8,746,683"
NY-NYC,40.7128,-74.006,35620,2003,"8,722,420"
NY-NYC,40.7128,-74.006,35620,2004,"8,868,772"
NY-NYC,40.7128,-74.006,35620,2005,"9,041,419"
NY-NYC,40.7128,-74.006,35620,2006,"9,150,840"
NY-NYC,40.7128,-74.006,35620,2007,"9,209,512"
NY-NYC,40.7128,-74.006,35620,2008,"9,260,954"
NY-NYC,40.7128,-74.006,35620,2009,"8,964,855"
NY-NYC,40.7128,-74.006,35620,2010,"8,939,117"
NY-NYC,40.7128,-74.006,35620,2011,"8,968,186"
NY-NYC,40.7128,-74.006,35620,2012,"9,050,359"
NY-NYC,40.7128,-74.006,35620,2013,"9,134,792"
NY-NYC,40.7128,-74.006,35620,2014,"9,291,397"
NY-NYC,40.7128,-74.006,35620,2015,"9,456,722"
NY-NYC,40.7128,-74.006,35620,2016,"9,523,594"
NY-NYC,40.7128,-74.006,35620,2017,"9,659,191"
CA-LA,34.0522,-118.2437,31080,1990,"5,538,817"
CA-LA,34.0522,-118.2437,31080,1991,"5,364,533"
CA-LA,34.0522,-118.2437,31080,1992,"5,245,428"
CA-LA,34.0522,-118.2437,31080,1993,"5,146,641"
CA-LA,34.0522,-118.2437,31080,1994,"5,150,322"
CA-LA,34.0522,-118.2437,31080,1995,"5,188,655"
CA-LA,34.0522,-118.2437,31080,1996,"5,251,041"
CA-LA,34.0522,-118.2437,31080,1997,"5,445,480"
CA-LA,34.0522,-118.2437,31080,1998,"5,619,635"
CA-LA,34.0522,-118.2437,31080,1999,"5,727,923"
CA-LA,34.0522,-118.2437,31080,2000,"5,855,725"
CA-LA,34.0522,-118.2437,31080,2001,"5,923,637"
CA-LA,34.0522,-118.2437,31080,2002,"5,880,453"
CA-LA,34.0522,-118.2437,31080,2003,"5,882,405"
CA-LA,34.0522,-118.2437,31080,2004,"5,948,080"
CA-LA,34.0522,-118.2437,31080,2005,"6,051,809"
CA-LA,34.0522,-118.2437,31080,2006,"6,121,036"
CA-LA,34.0522,-118.2437,31080,2007,"6,158,479"
CA-LA,34.0522,-118.2437,31080,2008,"6,084,764"
CA-LA,34.0522,-118.2437,31080,2009,"5,796,869"
CA-LA,34.0522,-118.2437,31080,2010,"5,689,712"
CA-LA,34.0522,-118.2437,31080,2011,"5,734,334"
CA-LA,34.0522,-118.2437,31080,2012,"5,817,662"
CA-LA,34.0522,-118.2437,31080,2013,"5,944,431"
CA-LA,34.0522,-118.2437,31080,2014,"6,079,645"
CA-LA,34.0522,-118.2437,31080,2015,"6,186,181"
CA-LA,34.0522,-118.2437,31080,2016,"6,316,785"
CA-LA,34.0522,-118.2437,31080,2017,"6,445,841"
IL-Chicago,41.8781,-87.6298,16980,1990,"4,011,178"
IL-Chicago,41.8781,-87.6298,16980,1991,"3,954,544"
IL-Chicago,41.8781,-87.6298,16980,1992,"3,988,698"
IL-Chicago,41.8781,-87.6298,16980,1993,"4,053,936"
IL-Chicago,41.8781,-87.6298,16980,1994,"4,174,780"
IL-Chicago,41.8781,-87.6298,16980,1995,"4,265,346"
IL-Chicago,41.8781,-87.6298,16980,1996,"4,318,892"
IL-Chicago,41.8781,-87.6298,16980,1997,"4,375,965"
IL-Chicago,41.8781,-87.6298,16980,1998,"4,420,386"
IL-Chicago,41.8781,-87.6298,16980,1999,"4,514,237"
IL-Chicago,41.8781,-87.6298,16980,2000,"4,559,774"
IL-Chicago,41.8781,-87.6298,16980,2001,"4,509,291"
IL-Chicago,41.8781,-87.6298,16980,2002,"4,368,814"
IL-Chicago,41.8781,-87.6298,16980,2003,"4,344,275"
IL-Chicago,41.8781,-87.6298,16980,2004,"4,375,317"
IL-Chicago,41.8781,-87.6298,16980,2005,"4,422,922"
IL-Chicago,41.8781,-87.6298,16980,2006,"4,565,086"
IL-Chicago,41.8781,-87.6298,16980,2007,"4,644,985"
IL-Chicago,41.8781,-87.6298,16980,2008,"4,599,924"
IL-Chicago,41.8781,-87.6298,16980,2009,"4,380,851"
IL-Chicago,41.8781,-87.6298,16980,2010,"4,358,423"
IL-Chicago,41.8781,-87.6298,16980,2011,"4,378,217"
IL-Chicago,41.8781,-87.6298,16980,2012,"4,438,862"
IL-Chicago,41.8781,-87.6298,16980,2013,"4,456,355"
IL-Chicago,41.8781,-87.6298,16980,2014,"4,531,885"
IL-Chicago,41.8781,-87.6298,16980,2015,"4,598,815"
IL-Chicago,41.8781,-87.6298,16980,2016,"4,639,861"
IL-Chicago,41.8781,-87.6298,16980,2017,"4,670,693"
TX-Dallas,32.7767,-96.797,19100,1990,"2,183,945"
TX-Dallas,32.7767,-96.797,19100,1991,"2,181,233"
TX-Dallas,32.7767,-96.797,19100,1992,"2,205,277"
TX-Dallas,32.7767,-96.797,19100,1993,"2,257,060"
TX-Dallas,32.7767,-96.797,19100,1994,"2,336,110"
TX-Dallas,32.7767,-96.797,19100,1995,"2,401,437"
TX-Dallas,32.7767,-96.797,19100,1996,"2,478,006"
TX-Dallas,32.7767,-96.797,19100,1997,"2,573,896"
TX-Dallas,32.7767,-96.797,19100,1998,"2,644,959"
TX-Dallas,32.7767,-96.797,19100,1999,"2,726,834"
TX-Dallas,32.7767,-96.797,19100,2000,"2,771,958"
TX-Dallas,32.7767,-96.797,19100,2001,"2,783,449"
TX-Dallas,32.7767,-96.797,19100,2002,"2,757,964"
TX-Dallas,32.7767,-96.797,19100,2003,"2,758,848"
TX-Dallas,32.7767,-96.797,19100,2004,"2,806,821"
TX-Dallas,32.7767,-96.797,19100,2005,"2,866,914"
TX-Dallas,32.7767,-96.797,19100,2006,"2,936,864"
TX-Dallas,32.7767,-96.797,19100,2007,"2,974,885"
TX-Dallas,32.7767,-96.797,19100,2008,"2,992,925"
TX-Dallas,32.7767,-96.797,19100,2009,"2,938,619"
TX-Dallas,32.7767,-96.797,19100,2010,"3,034,170"
TX-Dallas,32.7767,-96.797,19100,2011,"3,119,142"
TX-Dallas,32.7767,-96.797,19100,2012,"3,195,171"
TX-Dallas,32.7767,-96.797,19100,2013,"3,267,121"
TX-Dallas,32.7767,-96.797,19100,2014,"3,352,342"
TX-Dallas,32.7767,-96.797,19100,2015,"3,425,871"
TX-Dallas,32.7767,-96.797,19100,2016,"3,542,856"
TX-Dallas,32.7767,-96.797,19100,2017,"3,657,045"
TX-Houston,29.7604,-95.3698,26420,1990,"1,928,427"
TX-Houston,29.7604,-95.3698,26420,1991,"1,961,994"
TX-Houston,29.7604,-95.3698,26420,1992,"1,981,470"
TX-Houston,29.7604,-95.3698,26420,1993,"2,014,052"
TX-Houston,29.7604,-95.3698,26420,1994,"2,059,880"
TX-Houston,29.7604,-95.3698,26420,1995,"2,102,519"
TX-Houston,29.7604,-95.3698,26420,1996,"2,132,027"
TX-Houston,29.7604,-95.3698,26420,1997,"2,189,267"
TX-Houston,29.7604,-95.3698,26420,1998,"2,260,632"
TX-Houston,29.7604,-95.3698,26420,1999,"2,282,259"
TX-Houston,29.7604,-95.3698,26420,2000,"2,282,359"
TX-Houston,29.7604,-95.3698,26420,2001,"2,317,521"
TX-Houston,29.7604,-95.3698,26420,2002,"2,346,876"
TX-Houston,29.7604,-95.3698,26420,2003,"2,365,870"
TX-Houston,29.7604,-95.3698,26420,2004,"2,396,749"
TX-Houston,29.7604,-95.3698,26420,2005,"2,447,949"
TX-Houston,29.7604,-95.3698,26420,2006,"2,527,615"
TX-Houston,29.7604,-95.3698,26420,2007,"2,589,336"
TX-Houston,29.7604,-95.3698,26420,2008,"2,638,975"
TX-Houston,29.7604,-95.3698,26420,2009,"2,617,092"
TX-Houston,29.7604,-95.3698,26420,2010,"2,724,782"
TX-Houston,29.7604,-95.3698,26420,2011,"2,803,641"
TX-Houston,29.7604,-95.3698,26420,2012,"2,906,813"
TX-Houston,29.7604,-95.3698,26420,2013,"2,995,361"
TX-Houston,29.7604,-95.3698,26420,2014,"3,074,574"
TX-Houston,29.7604,-95.3698,26420,2015,"3,097,921"
TX-Houston,29.7604,-95.3698,26420,2016,"3,115,187"
TX-Houston,29.7604,-95.3698,26420,2017,"3,161,384"
MD-DC-VA,38.9072,-77.0369,47900,1990,"2,318,227"
MD-DC-VA,38.9072,-77.0369,47900,1991,"2,312,557"
MD-DC-VA,38.9072,-77.0369,47900,1992,"2,331,562"
MD-DC-VA,38.9072,-77.0369,47900,1993,"2,339,722"
MD-DC-VA,38.9072,-77.0369,47900,1994,"2,396,689"
MD-DC-VA,38.9072,-77.0369,47900,1995,"2,407,095"
MD-DC-VA,38.9072,-77.0369,47900,1996,"2,398,674"
MD-DC-VA,38.9072,-77.0369,47900,1997,"2,419,072"
MD-DC-VA,38.9072,-77.0369,47900,1998,"2,468,369"
MD-DC-VA,38.9072,-77.0369,47900,1999,"2,540,198"
MD-DC-VA,38.9072,-77.0369,47900,2000,"2,622,299"
MD-DC-VA,38.9072,-77.0369,47900,2001,"2,645,479"
MD-DC-VA,38.9072,-77.0369,47900,2002,"2,659,121"
MD-DC-VA,38.9072,-77.0369,47900,2003,"2,682,627"
MD-DC-VA,38.9072,-77.0369,47900,2004,"2,729,744"
MD-DC-VA,38.9072,-77.0369,47900,2005,"2,803,967"
MD-DC-VA,38.9072,-77.0369,47900,2006,"2,867,910"
MD-DC-VA,38.9072,-77.0369,47900,2007,"2,905,565"
MD-DC-VA,38.9072,-77.0369,47900,2008,"2,946,321"
MD-DC-VA,38.9072,-77.0369,47900,2009,"2,893,545"
MD-DC-VA,38.9072,-77.0369,47900,2010,"2,950,675"
MD-DC-VA,38.9072,-77.0369,47900,2011,"3,002,209"
MD-DC-VA,38.9072,-77.0369,47900,2012,"3,047,895"
MD-DC-VA,38.9072,-77.0369,47900,2013,"3,075,647"
MD-DC-VA,38.9072,-77.0369,47900,2014,"3,097,435"
MD-DC-VA,38.9072,-77.0369,47900,2015,"3,127,737"
MD-DC-VA,38.9072,-77.0369,47900,2016,"3,186,599"
MD-DC-VA,38.9072,-77.0369,47900,2017,"3,262,831"
PA-Philadelphia,39.9526,-75.1652,37980,1990,"2,613,900"
PA-Philadelphia,39.9526,-75.1652,37980,1991,"2,566,129"
PA-Philadelphia,39.9526,-75.1652,37980,1992,"2,542,310"
PA-Philadelphia,39.9526,-75.1652,37980,1993,"2,548,708"
PA-Philadelphia,39.9526,-75.1652,37980,1994,"2,575,008"
PA-Philadelphia,39.9526,-75.1652,37980,1995,"2,588,257"
PA-Philadelphia,39.9526,-75.1652,37980,1996,"2,638,147"
PA-Philadelphia,39.9526,-75.1652,37980,1997,"2,692,372"
PA-Philadelphia,39.9526,-75.1652,37980,1998,"2,725,852"
PA-Philadelphia,39.9526,-75.1652,37980,1999,"2,744,803"
PA-Philadelphia,39.9526,-75.1652,37980,2000,"2,738,839"
PA-Philadelphia,39.9526,-75.1652,37980,2001,"2,750,458"
PA-Philadelphia,39.9526,-75.1652,37980,2002,"2,738,962"
PA-Philadelphia,39.9526,-75.1652,37980,2003,"2,724,568"
PA-Philadelphia,39.9526,-75.1652,37980,2004,"2,743,368"
PA-Philadelphia,39.9526,-75.1652,37980,2005,"2,778,245"
PA-Philadelphia,39.9526,-75.1652,37980,2006,"2,816,438"
PA-Philadelphia,39.9526,-75.1652,37980,2007,"2,832,642"
PA-Philadelphia,39.9526,-75.1652,37980,2008,"2,848,034"
PA-Philadelphia,39.9526,-75.1652,37980,2009,"2,748,764"
PA-Philadelphia,39.9526,-75.1652,37980,2010,"2,755,208"
PA-Philadelphia,39.9526,-75.1652,37980,2011,"2,769,630"
PA-Philadelphia,39.9526,-75.1652,37980,2012,"2,792,073"
PA-Philadelphia,39.9526,-75.1652,37980,2013,"2,803,326"
PA-Philadelphia,39.9526,-75.1652,37980,2014,"2,838,879"
PA-Philadelphia,39.9526,-75.1652,37980,2015,"2,891,463"
PA-Philadelphia,39.9526,-75.1652,37980,2016,"2,934,124"
PA-Philadelphia,39.9526,-75.1652,37980,2017,"2,945,307"
FL-Miami,25.7617,-80.1918,33100,1990,"1,939,015"
FL-Miami,25.7617,-80.1918,33100,1991,"1,917,447"
FL-Miami,25.7617,-80.1918,33100,1992,"1,929,187"
FL-Miami,25.7617,-80.1918,33100,1993,"1,987,277"
FL-Miami,25.7617,-80.1918,33100,1994,"2,053,387"
FL-Miami,25.7617,-80.1918,33100,1995,"2,098,980"
FL-Miami,25.7617,-80.1918,33100,1996,"2,151,975"
FL-Miami,25.7617,-80.1918,33100,1997,"2,221,725"
FL-Miami,25.7617,-80.1918,33100,1998,"2,264,275"
FL-Miami,25.7617,-80.1918,33100,1999,"2,295,897"
FL-Miami,25.7617,-80.1918,33100,2000,"2,389,307"
FL-Miami,25.7617,-80.1918,33100,2001,"2,434,543"
FL-Miami,25.7617,-80.1918,33100,2002,"2,419,820"
FL-Miami,25.7617,-80.1918,33100,2003,"2,441,076"
FL-Miami,25.7617,-80.1918,33100,2004,"2,509,629"
FL-Miami,25.7617,-80.1918,33100,2005,"2,612,500"
FL-Miami,25.7617,-80.1918,33100,2006,"2,708,061"
FL-Miami,25.7617,-80.1918,33100,2007,"2,750,839"
