Region,Lat,Long,CBSA_Code,Year,Population
NY-NYC,40.7128,-74.006,35620,1990,7734952
NY-NYC,40.7128,-74.006,35620,1991,7486962
NY-NYC,40.7128,-74.006,35620,1992,7353137
NY-NYC,40.7128,-74.006,35620,1993,7367199
NY-NYC,40.7128,-74.006,35620,1994,7454710
NY-NYC,40.7128,-74.006,35620,1995,7543397
NY-NYC,40.7128,-74.006,35620,1996,7693956
NY-NYC,40.7128,-74.006,35620,1997,7894173
NY-NYC,40.7128,-74.006,35620,1998,8025875
NY-NYC,40.7128,-74.006,35620,1999,8155850
NY-NYC,40.7128,-74.006,35620,2000,8227776
NY-NYC,40.7128,-74.006,35620,2001,8215400
NY-NYC,40.7128,-74.006,35620,2002,8162594
NY-NYC,40.7128,-74.006,35620,2003,8134376
NY-NYC,40.7128,-74.006,35620,2004,8273044
NY-NYC,40.7128,-74.006,35620,2005,8435967
NY-NYC,40.7128,-74.006,35620,2006,8536559
NY-NYC,40.7128,-74.006,35620,2007,8594147
NY-NYC,40.7128,-74.006,35620,2008,8643694
NY-NYC,40.7128,-74.006,35620,2009,8367527
NY-NYC,40.7128,-74.006,35620,2010,8353698
NY-NYC,40.7128,-74.006,35620,2011,8385393
NY-NYC,40.7128,-74.006,35620,2012,8466867
NY-NYC,40.7128,-74.006,35620,2013,8551423
NY-NYC,40.7128,-74.006,35620,2014,8702771
NY-NYC,40.7128,-74.006,35620,2015,8861180
NY-NYC,40.7128,-74.006,35620,2016,8924993
NY-NYC,40.7128,-74.006,35620,2017,9055737
CA-LA,34.0522,-118.2437,31080,1990,5538817
CA-LA,34.0522,-118.2437,31080,1991,5364533
CA-LA,34.0522,-118.2437,31080,1992,5245428
CA-LA,34.0522,-118.2437,31080,1993,5146641
CA-LA,34.0522,-118.2437,31080,1994,5150322
CA-LA,34.0522,-118.2437,31080,1995,5188655
CA-LA,34.0522,-118.2437,31080,1996,5251041
CA-LA,34.0522,-118.2437,31080,1997,5445480
CA-LA,34.0522,-118.2437,31080,1998,5619635
CA-LA,34.0522,-118.2437,31080,1999,5727923
CA-LA,34.0522,-118.2437,31080,2000,5855725
CA-LA,34.0522,-118.2437,31080,2001,5923637
CA-LA,34.0522,-118.2437,31080,2002,5880453
CA-LA,34.0522,-118.2437,31080,2003,5882405
CA-LA,34.0522,-118.2437,31080,2004,5948080
CA-LA,34.0522,-118.2437,31080,2005,6051809
CA-LA,34.0522,-118.2437,31080,2006,6121036
CA-LA,34.0522,-118.2437,31080,2007,6158479
CA-LA,34.0522,-118.2437,31080,2008,6084764
CA-LA,34.0522,-118.2437,31080,2009,5796869
CA-LA,34.0522,-118.2437,31080,2010,5689712
CA-LA,34.0522,-118.2437,31080,2011,5734334
CA-LA,34.0522,-118.2437,31080,2012,5817662
CA-LA,34.0522,-118.2437,31080,2013,5944431
CA-LA,34.0522,-118.2437,31080,2014,6079645
CA-LA,34.0522,-118.2437,31080,2015,6186181
CA-LA,34.0522,-118.2437,31080,2016,6316785
CA-LA,34.0522,-118.2437,31080,2017,6445841
IL-Chicago,41.8781,-87.6298,16980,1990,3396106
IL-Chicago,41.8781,-87.6298,16980,1991,3336679
IL-Chicago,41.8781,-87.6298,16980,1992,3355642
IL-Chicago,41.8781,-87.6298,16980,1993,3397588
IL-Chicago,41.8781,-87.6298,16980,1994,3487751
IL-Chicago,41.8781,-87.6298,16980,1995,3540280
IL-Chicago,41.8781,-87.6298,16980,1996,3568368
IL-Chicago,41.8781,-87.6298,16980,1997,3608157
IL-Chicago,41.8781,-87.6298,16980,1998,3631055
IL-Chicago,41.8781,-87.6298,16980,1999,3694032
IL-Chicago,41.8781,-87.6298,16980,2000,3706448
IL-Chicago,41.8781,-87.6298,16980,2001,3643096
IL-Chicago,41.8781,-87.6298,16980,2002,3503278
IL-Chicago,41.8781,-87.6298,16980,2003,3458269
IL-Chicago,41.8781,-87.6298,16980,2004,3457069
IL-Chicago,41.8781,-87.6298,16980,2005,3474820
IL-Chicago,41.8781,-87.6298,16980,2006,3563527
IL-Chicago,41.8781,-87.6298,16980,2007,3613478
IL-Chicago,41.8781,-87.6298,16980,2008,3568557
IL-Chicago,41.8781,-87.6298,16980,2009,3394205
IL-Chicago,41.8781,-87.6298,16980,2010,3403230
IL-Chicago,41.8781,-87.6298,16980,2011,3415691
IL-Chicago,41.8781,-87.6298,16980,2012,3463807
IL-Chicago,41.8781,-87.6298,16980,2013,3478281
IL-Chicago,41.8781,-87.6298,16980,2014,3535006
IL-Chicago,41.8781,-87.6298,16980,2015,3582963
IL-Chicago,41.8781,-87.6298,16980,2016,3615206
IL-Chicago,41.8781,-87.6298,16980,2017,3633391
TX-Dallas,32.7767,-96.797,19100,1990,1695071
TX-Dallas,32.7767,-96.797,19100,1991,1686823
TX-Dallas,32.7767,-96.797,19100,1992,1696228
TX-Dallas,32.7767,-96.797,19100,1993,1725900
TX-Dallas,32.7767,-96.797,19100,1994,1771855
