Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1971,Yr_1972,Yr_1973,Yr_1974,Yr_1975,Yr_1976,Yr_1977,Yr_1978,Yr_1979,Yr_1980,Yr_1981,Yr_1982,Yr_1983,Yr_1984,Yr_1985,Yr_1986,Yr_1987,Yr_1988,Yr_1989,Yr_1990,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
NY-NYC,40.7128,-74.006,35620,"9,261.47",0.49%,-0.19%,-0.81%,-0.64%,-0.41%,-0.38%,-0.71%,-0.64%,-0.37%,-0.13%,0.19%,0.24%,0.77%,0.59%,0.45%,0.50%,0.33%,0.28%,-0.07%,0.09%,0.54%,0.81%,0.92%,0.76%,0.79%,0.78%,0.87%,0.97%,1.04%,0.92%,0.68%,0.45%,0.28%,0.03%,-0.13%,-0.14%,0.19%,0.53%,0.67%,0.69%,0.82%,0.68%,0.63%,0.51%,0.45%,0.29%,0.23%
CA-LA,34.0522,-118.2437,31080,3113.65,1.17%,0.06%,0.63%,1.24%,1.00%,1.60%,0.88%,1.56%,0.96%,1.70%,1.73%,2.08%,2.00%,1.55%,1.87%,2.59%,2.00%,1.53%,1.61%,1.07%,0.92%,1.33%,0.70%,0.26%,0.25%,0.67%,1.23%,1.43%,1.38%,1.14%,0.96%,0.82%,0.65%,0.30%,-0.07%,-0.44%,-0.30%,0.48%,0.64%,0.52%,0.76%,0.79%,0.70%,0.59%,0.56%,0.33%,0.19%
IL-Chicago,41.8781,-87.6298,16980,"1,314.16",0.74%,0.21%,-0.08%,0.09%,0.19%,0.33%,0.41%,0.25%,-0.16%,-0.05%,-0.17%,0.12%,-0.04%,0.29%,0.05%,0.07%,0.26%,0.22%,0.45%,0.61%,1.24%,1.30%,1.19%,1.09%,1.02%,1.02%,0.92%,0.98%,0.97%,0.86%,0.62%,0.40%,0.30%,0.30%,0.17%,0.23%,0.42%,0.51%,0.48%,0.44%,0.27%,0.30%,0.24%,0.13%,-0.04%,-0.12%,-0.14%
TX-Dallas,32.7767,-96.797,19100,696.73,1.65%,0.63%,2.19%,2.83%,1.80%,2.63%,1.96%,2.43%,2.95%,3.82%,2.76%,3.62%,3.43%,3.48%,4.05%,3.78%,2.25%,1.21%,1.54%,2.29%,2.50%,2.08%,2.14%,2.41%,2.49%,2.82%,3.09%,3.10%,2.90%,2.63%,2.69%,1.98%,1.69%,1.62%,1.94%,2.88%,2.34%,2.12%,2.10%,1.74%,1.86%,2.05%,1.66%,1.96%,2.16%,2.15%,2.02%
TX-Houston,29.7604,-95.3698,26420,708.57,2.89%,2.56%,2.94%,3.25%,4.34%,4.20%,3.87%,4.11%,4.02%,4.58%,4.35%,5.91%,2.87%,0.48%,0.16%,1.09%,-1.15%,-0.30%,1.52%,2.88%,2.89%,2.70%,2.15%,1.91%,1.79%,2.06%,2.15%,2.42%,2.41%,2.05%,2.13%,2.48%,2.01%,1.91%,1.97%,3.63%,2.16%,2.45%,2.64%,2.08%,1.86%,2.08%,2.36%,2.64%,2.58%,2.01%,1.39%
MD-DC-VA,38.9072,-77.0369,47900,"2,610.65",1.58%,2.15%,0.59%,0.35%,0.78%,0.58%,0.24%,0.87%,0.21%,0.65%,1.75%,1.21%,1.47%,2.13%,2.19%,2.50%,2.63%,2.48%,1.87%,1.26%,1.48%,1.53%,1.44%,1.37%,1.23%,1.36%,1.44%,1.53%,1.95%,2.09%,2.20%,1.72%,1.36%,1.47%,1.42%,0.86%,1.02%,1.34%,1.89%,2.13%,1.95%,1.66%,1.54%,1.12%,1.03%,0.97%,1.06%
PA-Philadelphia,39.9526,-75.1652,37980,"2,148.24",0.58%,-0.16%,-0.67%,-0.41%,-0.14%,-0.14%,-0.31%,-0.33%,0.02%,-0.09%,0.13%,0.13%,0.09%,0.33%,0.29%,0.77%,0.90%,0.70%,0.24%,0.20%,0.64%,0.43%,0.53%,0.53%,0.43%,0.29%,0.24%,0.43%,0.45%,0.47%,0.39%,0.52%,0.53%,0.53%,0.42%,0.46%,0.44%,0.42%,0.59%,0.50%,0.42%,0.41%,0.24%,0.29%,0.22%,0.17%,0.31%
FL-Miami,25.7617,-80.1918,33100,"1,143.53",4.52%,4.82%,5.08%,5.43%,3.34%,1.64%,1.86%,2.22%,3.96%,4.27%,4.03%,1.87%,1.65%,1.53%,2.04%,2.10%,2.37%,2.49%,2.37%,2.37%,2.41%,2.07%,1.81%,2.42%,2.30%,2.31%,2.10%,1.82%,1.97%,1.90%,1.69%,1.69%,1.24%,1.42%,1.40%,0.34%,-0.12%,0.58%,0.92%,1.44%,2.01%,1.49%,1.42%,1.38%,1.39%,1.35%,0.84%
GA-Atlanta,33.749,-84.388,12060,666.38,3.15%,3.27%,3.46%,2.64%,0.87%,1.18%,1.93%,1.85%,2.72%,2.43%,2.21%,2.09%,2.56%,3.07%,3.69%,3.55%,3.48%,2.90%,2.29%,2.34%,2.94%,3.02%,3.35%,3.57%,3.43%,3.32%,3.26%,3.42%,3.39%,3.26%,2.54%,1.97%,1.85%,1.90%,2.39%,3.37%,2.73%,2.05%,1.37%,1.19%,1.31%,1.46%,1.20%,1.60%,1.73%,1.64%,1.54%
MA-Boston,42.3601,-71.0589,14460,"3,493.13",0.71%,0.67%,0.06%,-0.33%,-0.41%,-0.17%,0.02%,-0.08%,-0.04%,0.12%,0.49%,0.26%,0.74%,0.80%,0.82%,0.41%,0.40%,0.50%,0.34%,-0.05%,-0.22%,0.23%,0.63%,0.61%,0.99%,0.82%,0.87%,0.81%,0.74%,0.72%,0.70%,0.18%,-0.12%,-0.22%,-0.16%,0.21%,0.46%,0.79%,0.98%,0.84%,0.94%,0.97%,1.01%,0.89%,0.72%,0.63%,0.64%
CA-San Francisco,37.7749,-122.4194,41860,"4,555.06",0.26%,0.49%,0.37%,0.20%,0.19%,0.91%,0.39%,0.45%,0.40%,0.96%,1.18%,1.16%,1.56%,1.24%,1.50%,1.28%,1.00%,1.25%,1.49%,1.71%,1.09%,1.20%,0.89%,0.53%,0.62%,1.01%,1.59%,1.49%,1.10%,1.13%,0.94%,-0.39%,-0.30%,-0.30%,0.11%,0.26%,0.84%,1.44%,1.39%,0.98%,1.25%,1.45%,1.47%,1.48%,1.35%,0.88%,0.60%
AZ-Phoenix,33.4484,-112.074,38060,242.45,4.60%,5.79%,6.33%,5.19%,2.74%,2.15%,3.70%,4.20%,4.73%,4.30%,2.86%,2.99%,3.11%,4.29%,5.14%,4.21%,4.43%,2.86%,2.54%,1.42%,3.12%,3.43%,3.88%,4.88%,4.99%,4.07%,3.78%,3.74%,3.38%,2.99%,2.76%,2.64%,2.43%,2.85%,3.78%,3.70%,2.65%,2.20%,1.15%,1.22%,1.04%,1.74%,1.59%,1.83%,1.96%,1.98%,1.91%
CA-Riverside,33.9806,-117.3755,40140,202.65,2.24%,1.56%,1.07%,2.29%,1.53%,2.72%,5.08%,6.54%,4.26%,5.07%,3.40%,3.72%,3.37%,3.87%,4.80%,5.13%,6.36%,6.83%,7.51%,7.92%,4.13%,3.00%,1.53%,1.43%,1.52%,1.37%,1.74%,2.16%,2.62%,2.74%,3.06%,3.24%,3.75%,3.81%,3.20%,2.86%,2.03%,1.13%,1.15%,1.98%,1.30%,1.00%,0.85%,1.09%,1.06%,1.14%,1.26%
MI-Detroit,42.3314,-83.0458,19820,"1,163.87",0.45%,-0.14%,-0.40%,-0.31%,-0.62%,-0.75%,-0.22%,0.11%,0.00%,-0.41%,-1.46%,-1.23%,-0.90%,-0.05%,0.32%,0.57%,0.52%,-0.17%,0.09%,0.31%,0.82%,0.80%,0.58%,0.48%,0.79%,0.76%,0.16%,0.03%,0.13%,0.18%,0.14%,-0.12%,-0.07%,-0.17%,-0.33%,-0.48%,-0.74%,-0.86%,-0.64%,-0.47%,-0.06%,0.16%,0.07%,0.11%,-0.03%,0.08%,0.17%
WA-Seattle,83.0458,-122.3321,42660,577,-0.08%,-1.59%,-0.28%,1.83%,1.76%,1.07%,1.61%,2.84%,3.09%,3.62%,2.18%,1.22%,0.47%,1.28%,1.90%,1.90%,2.40%,2.98%,2.75%,3.43%,2.01%,2.29%,1.84%,1.23%,1.46%,1.50%,2.14%,2.08%,1.37%,1.08%,1.33%,0.82%,0.47%,0.83%,1.24%,1.84%,1.45%,1.53%,1.78%,0.97%,1.42%,1.58%,1.64%,1.57%,1.67%,1.99%,1.69%
MI-Minneapolis,44.9778,-93.265,33460,600.19,0.94%,0.17%,0.85%,0.90%,0.43%,0.64%,0.52%,0.96%,1.12%,1.80%,1.20%,1.10%,0.63%,0.99%,1.53%,1.56%,1.68%,2.21%,1.54%,1.71%,1.54%,1.60%,1.69%,1.55%,1.53%,1.50%,1.45%,1.50%,1.64%,1.66%,1.39%,0.96%,0.87%,0.91%,0.86%,1.10%,1.09%,0.97%,0.89%,0.74%,1.00%,0.99%,1.06%,1.01%,0.80%,1.02%,1.22%
CA-San Diego ,32.7157,-117.1611,41740,735.8,2.00%,2.96%,4.64%,2.74%,4.95%,1.60%,4.43%,3.49%,2.94%,2.61%,2.76%,2.35%,2.32%,2.39%,2.89%,3.33%,3.57%,3.91%,3.39%,2.78%,1.62%,1.57%,0.26%,0.57%,0.34%,1.06%,1.55%,1.64%,1.93%,1.35%,1.50%,1.07%,0.49%,0.53%,0.29%,0.30%,0.97%,1.56%,1.29%,1.39%,1.16%,1.27%,1.15%,1.25%,1.02%,0.83%,0.62%
FL-Tampa Bay,27.7634,-82.5437,45300,"1,385.05",5.37%,6.03%,6.52%,4.57%,2.25%,1.86%,1.78%,2.67%,3.66%,3.44%,3.07%,2.70%,3.00%,2.90%,2.80%,2.48%,2.27%,1.95%,1.68%,1.89%,1.59%,1.15%,1.34%,1.40%,1.45%,1.37%,1.81%,1.72%,1.38%,1.47%,1.66%,1.78%,1.70%,2.30%,2.47%,1.82%,0.99%,0.74%,0.62%,0.89%,1.46%,0.64%,0.89%,1.54%,1.95%,2.11%,1.81%
CO-Denver,39.7392,-104.9903,19740,"1,035.60",3.14%,3.70%,3.50%,1.19%,1.80%,2.41%,2.06%,3.47%,3.01%,2.03%,2.52%,2.89%,2.43%,1.37%,1.43%,0.87%,0.45%,-0.38%,0.07%,1.14%,2.67%,3.45%,3.31%,2.40%,2.56%,2.56%,2.69%,2.43%,2.79%,3.51%,2.21%,1.13%,0.80%,0.87%,1.21%,1.78%,1.87%,1.87%,1.84%,1.79%,1.77%,1.79%,1.90%,1.98%,2.09%,1.59%,1.28%
MO-St Louis,38.627,-90.1994,41180,"1,009.92",-0.23%,-0.33%,-0.49%,-0.42%,0.00%,0.00%,-0.27%,0.14%,0.19%,0.10%,0.01%,-0.23%,0.13%,0.49%,0.68%,0.60%,0.58%,0.35%,0.08%,0.40%,0.56%,0.43%,0.60%,0.41%,0.48%,0.41%,0.42%,0.22%,0.35%,0.47%,0.42%,0.37%,0.40%,0.40%,0.31%,0.51%,0.41%,0.44%,0.42%,0.38%,0.14%,0.08%,0.13%,0.15%,0.12%,-0.02%,0.02%
