Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1971,Yr_1972,Yr_1973,Yr_1974,Yr_1975,Yr_1976,Yr_1977,Yr_1978,Yr_1979,Yr_1980,Yr_1981,Yr_1982,Yr_1983,Yr_1984,Yr_1985,Yr_1986,Yr_1987,Yr_1988,Yr_1989,Yr_1990,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
NY-NYC Urban,40.7128,-74.006,35620,12058.95,0.36%,-0.40%,-1.06%,-0.81%,-0.57%,-0.51%,-0.89%,-0.80%,-0.52%,-0.22%,0.13%,0.20%,0.75%,0.53%,0.37%,0.40%,0.22%,0.17%,-0.15%,0.01%,0.51%,0.77%,0.88%,0.73%,0.74%,0.73%,0.84%,0.94%,1.01%,0.87%,0.62%,0.36%,0.20%,-0.03%,-0.19%,-0.20%,0.17%,0.54%,0.70%,0.72%,0.87%,0.74%,0.67%,0.55%,0.48%,0.31%,0.21%
CA-LA Urban,34.0522,-118.2437,31080,3113.65,1.17%,0.06%,0.63%,1.24%,1.00%,1.60%,0.88%,1.56%,0.96%,1.70%,1.73%,2.08%,2.00%,1.55%,1.87%,2.59%,2.00%,1.53%,1.61%,1.07%,0.92%,1.33%,0.70%,0.26%,0.25%,0.67%,1.23%,1.43%,1.38%,1.14%,0.96%,0.82%,0.65%,0.30%,-0.07%,-0.44%,-0.30%,0.48%,0.64%,0.52%,0.76%,0.79%,0.70%,0.59%,0.56%,0.33%,0.19%
IL-Chicago Urban,41.8781,-87.6298,16980,"2,810.36",0.63%,-0.03%,-0.47%,-0.13%,-0.08%,0.12%,0.14%,-0.06%,-0.46%,-0.32%,-0.24%,0.14%,-0.09%,0.19%,-0.04%,-0.06%,0.06%,-0.06%,0.19%,0.26%,1.02%,1.12%,0.92%,0.79%,0.63%,0.65%,0.56%,0.66%,0.60%,0.43%,0.06%,-0.25%,-0.40%,-0.40%,-0.48%,-0.47%,-0.07%,0.23%,0.37%,0.36%,0.26%,0.31%,0.23%,0.06%,-0.14%,-0.24%,-0.31%
TX-Dallas Urban,32.7767,-96.797,19100,"1,987.43",1.40%,-0.01%,1.17%,2.31%,1.90%,2.53%,1.42%,1.66%,2.22%,3.25%,2.47%,3.17%,2.96%,2.77%,3.31%,3.11%,1.60%,0.52%,1.13%,1.93%,2.31%,1.67%,1.59%,1.77%,1.80%,2.10%,2.31%,2.28%,1.99%,1.66%,1.71%,0.97%,0.71%,0.70%,1.01%,1.91%,1.57%,1.55%,1.73%,1.40%,1.55%,1.87%,1.36%,1.50%,1.68%,1.59%,1.42%
TX-Houston Urban,29.7604,-95.3698,26420,"2,190.30",2.87%,2.45%,2.86%,3.50%,4.39%,4.18%,3.60%,3.90%,3.79%,4.34%,4.54%,6.10%,2.51%,0.15%,-0.23%,1.25%,-1.24%,-0.48%,1.31%,2.74%,2.81%,2.57%,1.92%,1.74%,1.55%,1.87%,2.01%,2.27%,2.24%,1.85%,1.92%,2.13%,1.67%,1.53%,1.67%,3.59%,1.78%,2.19%,2.57%,1.93%,1.87%,2.04%,2.21%,2.42%,2.36%,1.67%,1.01%
MD-DC-VA Urban,38.9072,-77.0369,47900,"4,493.44",1.37%,1.98%,0.22%,-0.17%,0.38%,0.16%,-0.35%,0.34%,-0.26%,0.41%,1.62%,1.09%,1.40%,1.99%,2.02%,2.28%,2.23%,2.19%,1.45%,0.70%,1.23%,1.23%,1.06%,0.96%,0.76%,0.98%,1.08%,1.11%,1.59%,1.61%,1.68%,1.08%,0.66%,0.85%,0.87%,0.41%,0.71%,1.22%,1.99%,2.13%,1.98%,1.68%,1.45%,0.95%,0.92%,0.79%,0.82%
PA-Philadelphia Urban,39.9526,-75.1652,37980,"3,502.93",0.22%,-0.52%,-0.76%,-0.52%,-0.49%,-0.53%,-0.65%,-0.65%,-0.29%,-0.47%,-0.09%,-0.08%,-0.01%,0.17%,0.15%,0.65%,0.66%,0.30%,-0.06%,-0.12%,0.51%,0.36%,0.44%,0.38%,0.20%,0.09%,0.04%,0.31%,0.26%,0.23%,0.16%,0.22%,0.23%,0.26%,0.23%,0.22%,0.33%,0.39%,0.60%,0.49%,0.43%,0.45%,0.28%,0.28%,0.27%,0.22%,0.34%
FL-Miami Urban,25.7617,-80.1918,33100,"1,380.20",4.41%,4.71%,4.30%,5.17%,3.20%,1.43%,1.73%,1.92%,3.48%,3.82%,3.61%,1.38%,1.26%,0.96%,1.51%,1.58%,1.91%,2.14%,2.12%,2.07%,2.21%,1.79%,1.40%,2.19%,2.21%,2.23%,1.89%,1.64%,1.99%,1.97%,1.55%,1.41%,0.94%,1.00%,1.19%,0.30%,-0.21%,0.56%,0.90%,1.50%,2.33%,1.50%,1.35%,1.27%,1.23%,1.22%,0.73%
GA-Atlanta Urban,33.749,-84.388,12060,"1,811.57",2.94%,3.22%,2.96%,2.39%,0.59%,0.90%,1.88%,1.91%,2.62%,2.26%,2.30%,2.06%,2.74%,3.19%,3.73%,3.43%,3.12%,2.62%,1.95%,1.88%,2.74%,2.94%,3.38%,3.32%,3.10%,2.87%,2.77%,2.86%,2.88%,2.76%,1.76%,1.01%,0.93%,1.07%,1.57%,2.70%,2.03%,1.61%,1.20%,1.16%,1.58%,1.80%,1.15%,1.52%,1.70%,1.46%,1.27%
MA-Boston Urban,42.3601,-71.0589,14460,"5,735.58",0.54%,0.07%,-0.48%,-0.81%,-0.74%,-0.43%,-0.52%,-0.63%,-0.45%,-0.06%,0.38%,0.14%,0.71%,0.63%,0.66%,0.07%,0.02%,0.18%,0.11%,-0.26%,-0.17%,0.17%,0.50%,0.52%,0.98%,0.71%,0.80%,0.71%,0.64%,0.57%,0.59%,-0.02%,-0.29%,-0.36%,-0.31%,0.13%,0.49%,0.89%,1.15%,0.95%,1.08%,1.11%,1.13%,0.92%,0.79%,0.65%,0.61%
