Region,Lat,Long,CBSA Code,Pop Density,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NY-NYC,40.7128,-74.006,35620,"9,261.47","17,534,084.00","17,619,551.00","17,585,345.00","17,443,586.00","17,332,526.00","17,261,647.00","17,196,329.00","17,073,936.00","16,964,439.00","16,902,199.00","16,880,628.00","16,912,862.00","16,953,212.00","17,083,874.00","17,184,785.00","17,262,810.00","17,348,480.00","17,406,150.00","17,454,551.00","17,442,721.00","17,457,943.00","17,552,994.00","17,695,120.00","17,857,808.00","17,992,928.00","18,134,488.00","18,276,694.00","18,435,323.00","18,613,907.00","18,806,645.00","18,980,010.00","19,109,150.00","19,195,261.00","19,248,311.00","19,253,664.00","19,227,714.00","19,200,372.00","19,236,108.00","19,338,823.00","19,469,123.00","19,602,914.00","19,763,868.00","19,897,967.00","20,023,110.00","20,125,350.00","20,215,694.00","20,275,179.00","20,320,876.00"
NY-NYC Suburban,40.7128,-74.006,35620,299.94,"652,867.00","678,334.00","711,741.00","749,248.00","772,678.00","796,154.00","814,935.00","837,954.00","858,580.00","880,895.00","893,850.00","905,136.00","914,215.00","925,232.00","940,106.00","958,067.00","978,508.00","1,000,035.00","1,021,071.00","1,033,407.00","1,047,321.00","1,059,159.00","1,073,823.00","1,089,576.00","1,102,305.00","1,118,883.00","1,136,331.00","1,151,482.00","1,168,352.00","1,184,742.00","1,204,244.00","1,223,222.00","1,244,699.00","1,261,870.00","1,273,371.00","1,282,213.00","1,290,015.00","1,295,924.00","1,301,622.00","1,305,198.00","1,308,598.00","1,310,033.00","1,307,872.00","1,308,309.00","1,308,303.00","1,308,073.00","1,309,158.00","1,315,266.00"
NY-NYC Urban,40.7128,-74.006,35620,12058.95,"16,881,217.00","16,941,217.00","16,873,604.00","16,694,338.00","16,559,848.00","16,465,493.00","16,381,394.00","16,235,982.00","16,105,859.00","16,021,304.00","15,986,778.00","16,007,726.00","16,038,997.00","16,158,642.00","16,244,679.00","16,304,743.00","16,369,972.00","16,406,115.00","16,433,480.00","16,409,314.00","16,410,622.00","16,493,835.00","16,621,297.00","16,768,232.00","16,890,623.00","17,015,605.00","17,140,363.00","17,283,841.00","17,445,555.00","17,621,903.00","17,775,766.00","17,885,928.00","17,950,562.00","17,986,441.00","17,980,293.00","17,945,501.00","17,910,357.00","17,940,184.00","18,037,201.00","18,163,925.00","18,294,316.00","18,453,835.00","18,590,095.00","18,714,801.00","18,817,047.00","18,907,621.00","18,966,021.00","19,005,610.00"
CA-LA,34.0522,-118.2437,31080,3113.65,"8,488,140.00","8,587,856.00","8,593,411.00","8,647,583.00","8,754,846.00","8,842,481.00","8,984,351.00","9,063,773.00","9,204,879.00","9,292,971.00","9,450,553.00","9,613,596.00","9,813,345.00","10,009,837.00","10,165,046.00","10,354,834.00","10,622,527.00","10,835,329.00","11,000,784.00","11,177,629.00","11,297,143.00","11,400,816.00","11,552,438.00","11,632,798.00","11,663,207.00","11,692,693.00","11,771,038.00","11,915,815.00","12,086,776.00","12,253,223.00","12,392,704.00","12,511,491.00","12,614,158.00","12,696,521.00","12,734,974.00","12,726,428.00","12,670,216.00","12,631,988.00","12,692,740.00","12,774,577.00","12,841,606.00","12,939,463.00","13,041,538.00","13,132,253.00","13,209,445.00","13,283,824.00","13,328,261.00","13,353,907.00"
CA-LA Suburban,34.0522,-118.2437,31080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-LA Urban,34.0522,-118.2437,31080,3113.65,"8,488,140.00","8,587,856.00","8,593,411.00","8,647,583.00","8,754,846.00","8,842,481.00","8,984,351.00","9,063,773.00","9,204,879.00","9,292,971.00","9,450,553.00","9,613,596.00","9,813,345.00","10,009,837.00","10,165,046.00","10,354,834.00","10,622,527.00","10,835,329.00","11,000,784.00","11,177,629.00","11,297,143.00","11,400,816.00","11,552,438.00","11,632,798.00","11,663,207.00","11,692,693.00","11,771,038.00","11,915,815.00","12,086,776.00","12,253,223.00","12,392,704.00","12,511,491.00","12,614,158.00","12,696,521.00","12,734,974.00","12,726,428.00","12,670,216.00","12,631,988.00","12,692,740.00","12,774,577.00","12,841,606.00","12,939,463.00","13,041,538.00","13,132,253.00","13,209,445.00","13,283,824.00","13,328,261.00","13,353,907.00"
IL-Chicago,41.8781,-87.6298,16980,"1,314.16","7,897,157.00","7,955,378.00","7,972,456.00","7,966,163.00","7,973,410.00","7,988,617.00","8,014,950.00","8,047,498.00","8,067,878.00","8,055,226.00","8,051,510.00","8,038,127.00","8,047,498.00","8,044,576.00","8,067,951.00","8,072,062.00","8,078,102.00","8,099,060.00","8,116,756.00","8,153,134.00","8,203,210.00","8,304,560.00","8,412,788.00","8,512,911.00","8,605,735.00","8,693,383.00","8,782,253.00","8,862,719.00","8,949,190.00","9,035,654.00","9,113,234.00","9,169,580.00","9,206,032.00","9,233,303.00","9,260,676.00","9,276,302.00","9,297,749.00","9,337,140.00","9,384,555.00","9,429,498.00","9,471,312.00","9,497,177.00","9,525,765.00","9,548,402.00","9,560,874.00","9,557,503.00","9,546,326.00","9,533,040.00"
IL-Chicago Suburban,41.8781,-87.6298,16980,482.93,"903,847.00","917,931.00","937,060.00","964,181.00","980,220.00","1,001,296.00","1,019,371.00","1,042,174.00","1,066,502.00","1,086,152.00","1,104,583.00","1,108,033.00","1,108,021.00","1,111,539.00","1,121,903.00","1,129,131.00","1,139,176.00","1,155,960.00","1,177,806.00","1,201,076.00","1,232,922.00","1,263,322.00","1,292,657.00","1,327,588.00","1,363,768.00","1,406,115.00","1,447,403.00","1,486,558.00","1,524,578.00","1,566,331.00","1,611,631.00","1,663,559.00","1,718,884.00","1,776,034.00","1,833,469.00","1,884,922.00","1,940,809.00","1,985,335.00","2,015,477.00","2,033,061.00","2,048,423.00","2,054,894.00","2,060,501.00","2,065,811.00","2,073,798.00","2,080,889.00","2,087,843.00","2,097,756.00"
IL-Chicago Urban,41.8781,-87.6298,16980,"2,810.36","6,993,310.00","7,037,447.00","7,035,396.00","7,001,982.00","6,993,190.00","6,987,321.00","6,995,579.00","7,005,324.00","7,001,376.00","6,969,074.00","6,946,927.00","6,930,094.00","6,939,477.00","6,933,037.00","6,946,048.00","6,942,931.00","6,938,926.00","6,943,100.00","6,938,950.00","6,952,058.00","6,970,288.00","7,041,238.00","7,120,131.00","7,185,323.00","7,241,967.00","7,287,268.00","7,334,850.00","7,376,161.00","7,424,612.00","7,469,323.00","7,501,603.00","7,506,021.00","7,487,148.00","7,457,269.00","7,427,207.00","7,391,380.00","7,356,940.00","7,351,805.00","7,369,078.00","7,396,437.00","7,422,889.00","7,442,283.00","7,465,264.00","7,482,591.00","7,487,076.00","7,476,614.00","7,458,483.00","7,435,284.00"
TX-Dallas,32.7767,-96.797,19100,696.73,"2,438,404.00","2,478,750.00","2,494,422.00","2,549,172.00","2,621,422.00","2,668,524.00","2,738,615.00","2,792,253.00","2,860,233.00","2,944,562.00","3,057,002.00","3,141,230.00","3,255,040.00","3,366,586.00","3,483,766.00","3,624,948.00","3,762,023.00","3,846,512.00","3,893,133.00","3,953,095.00","4,043,744.00","4,144,813.00","4,231,065.00","4,321,701.00","4,426,050.00","4,536,179.00","4,664,290.00","4,808,429.00","4,957,705.00","5,101,405.00","5,235,385.00","5,376,413.00","5,482,944.00","5,575,785.00","5,666,333.00","5,776,543.00","5,942,755.00","6,081,907.00","6,211,115.00","6,341,740.00","6,451,833.00","6,571,537.00","6,706,020.00","6,817,243.00","6,950,715.00","7,101,031.00","7,253,424.00","7,399,662.00"
