Region,Lat,Long,CBSA_Code,Year,Population
NY-NYC Suburban,40.7128,-74.006,35620,1970,652867
NY-NYC Suburban,40.7128,-74.006,35620,1971,678334
NY-NYC Suburban,40.7128,-74.006,35620,1972,711741
NY-NYC Suburban,40.7128,-74.006,35620,1973,749248
NY-NYC Suburban,40.7128,-74.006,35620,1974,772678
NY-NYC Suburban,40.7128,-74.006,35620,1975,796154
NY-NYC Suburban,40.7128,-74.006,35620,1976,814935
NY-NYC Suburban,40.7128,-74.006,35620,1977,837954
NY-NYC Suburban,40.7128,-74.006,35620,1978,858580
NY-NYC Suburban,40.7128,-74.006,35620,1979,880895
NY-NYC Suburban,40.7128,-74.006,35620,1980,893850
NY-NYC Suburban,40.7128,-74.006,35620,1981,905136
NY-NYC Suburban,40.7128,-74.006,35620,1982,914215
NY-NYC Suburban,40.7128,-74.006,35620,1983,925232
NY-NYC Suburban,40.7128,-74.006,35620,1984,940106
NY-NYC Suburban,40.7128,-74.006,35620,1985,958067
NY-NYC Suburban,40.7128,-74.006,35620,1986,978508
NY-NYC Suburban,40.7128,-74.006,35620,1987,1000035
NY-NYC Suburban,40.7128,-74.006,35620,1988,1021071
NY-NYC Suburban,40.7128,-74.006,35620,1989,1033407
NY-NYC Suburban,40.7128,-74.006,35620,1990,1047321
NY-NYC Suburban,40.7128,-74.006,35620,1991,1059159
NY-NYC Suburban,40.7128,-74.006,35620,1992,1073823
NY-NYC Suburban,40.7128,-74.006,35620,1993,1089576
NY-NYC Suburban,40.7128,-74.006,35620,1994,1102305
NY-NYC Suburban,40.7128,-74.006,35620,1995,1118883
NY-NYC Suburban,40.7128,-74.006,35620,1996,1136331
NY-NYC Suburban,40.7128,-74.006,35620,1997,1151482
NY-NYC Suburban,40.7128,-74.006,35620,1998,1168352
NY-NYC Suburban,40.7128,-74.006,35620,1999,1184742
NY-NYC Suburban,40.7128,-74.006,35620,2000,1204244
NY-NYC Suburban,40.7128,-74.006,35620,2001,1223222
NY-NYC Suburban,40.7128,-74.006,35620,2002,1244699
NY-NYC Suburban,40.7128,-74.006,35620,2003,1261870
NY-NYC Suburban,40.7128,-74.006,35620,2004,1273371
NY-NYC Suburban,40.7128,-74.006,35620,2005,1282213
NY-NYC Suburban,40.7128,-74.006,35620,2006,1290015
NY-NYC Suburban,40.7128,-74.006,35620,2007,1295924
NY-NYC Suburban,40.7128,-74.006,35620,2008,1301622
NY-NYC Suburban,40.7128,-74.006,35620,2009,1305198
NY-NYC Suburban,40.7128,-74.006,35620,2010,1308598
NY-NYC Suburban,40.7128,-74.006,35620,2011,1310033
NY-NYC Suburban,40.7128,-74.006,35620,2012,1307872
NY-NYC Suburban,40.7128,-74.006,35620,2013,1308309
NY-NYC Suburban,40.7128,-74.006,35620,2014,1308303
NY-NYC Suburban,40.7128,-74.006,35620,2015,1308073
NY-NYC Suburban,40.7128,-74.006,35620,2016,1309158
