Region,Lat,Long,CBSA_Code,Year,Population
NY-NYC ,40.7128,-74.006,35620,1970,"17,534,084"
NY-NYC ,40.7128,-74.006,35620,1971,"17,619,551"
NY-NYC ,40.7128,-74.006,35620,1972,"17,585,345"
NY-NYC ,40.7128,-74.006,35620,1973,"17,443,586"
NY-NYC ,40.7128,-74.006,35620,1974,"17,332,526"
NY-NYC ,40.7128,-74.006,35620,1975,"17,261,647"
NY-NYC ,40.7128,-74.006,35620,1976,"17,196,329"
NY-NYC ,40.7128,-74.006,35620,1977,"17,073,936"
NY-NYC ,40.7128,-74.006,35620,1978,"16,964,439"
NY-NYC ,40.7128,-74.006,35620,1979,"16,902,199"
NY-NYC ,40.7128,-74.006,35620,1980,"16,880,628"
NY-NYC ,40.7128,-74.006,35620,1981,"16,912,862"
NY-NYC ,40.7128,-74.006,35620,1982,"16,953,212"
NY-NYC ,40.7128,-74.006,35620,1983,"17,083,874"
NY-NYC ,40.7128,-74.006,35620,1984,"17,184,785"
NY-NYC ,40.7128,-74.006,35620,1985,"17,262,810"
NY-NYC ,40.7128,-74.006,35620,1986,"17,348,480"
NY-NYC ,40.7128,-74.006,35620,1987,"17,406,150"
NY-NYC ,40.7128,-74.006,35620,1988,"17,454,551"
NY-NYC ,40.7128,-74.006,35620,1989,"17,442,721"
NY-NYC ,40.7128,-74.006,35620,1990,"17,457,943"
NY-NYC ,40.7128,-74.006,35620,1991,"17,552,994"
NY-NYC ,40.7128,-74.006,35620,1992,"17,695,120"
NY-NYC ,40.7128,-74.006,35620,1993,"17,857,808"
NY-NYC ,40.7128,-74.006,35620,1994,"17,992,928"
NY-NYC ,40.7128,-74.006,35620,1995,"18,134,488"
NY-NYC ,40.7128,-74.006,35620,1996,"18,276,694"
NY-NYC ,40.7128,-74.006,35620,1997,"18,435,323"
NY-NYC ,40.7128,-74.006,35620,1998,"18,613,907"
NY-NYC ,40.7128,-74.006,35620,1999,"18,806,645"
NY-NYC ,40.7128,-74.006,35620,2000,"18,980,010"
NY-NYC ,40.7128,-74.006,35620,2001,"19,109,150"
NY-NYC ,40.7128,-74.006,35620,2002,"19,195,261"
NY-NYC ,40.7128,-74.006,35620,2003,"19,248,311"
NY-NYC ,40.7128,-74.006,35620,2004,"19,253,664"
NY-NYC ,40.7128,-74.006,35620,2005,"19,227,714"
NY-NYC ,40.7128,-74.006,35620,2006,"19,200,372"
NY-NYC ,40.7128,-74.006,35620,2007,"19,236,108"
NY-NYC ,40.7128,-74.006,35620,2008,"19,338,823"
NY-NYC ,40.7128,-74.006,35620,2009,"19,469,123"
NY-NYC ,40.7128,-74.006,35620,2010,"19,602,914"
NY-NYC ,40.7128,-74.006,35620,2011,"19,763,868"
NY-NYC ,40.7128,-74.006,35620,2012,"19,897,967"
NY-NYC ,40.7128,-74.006,35620,2013,"20,023,110"
NY-NYC ,40.7128,-74.006,35620,2014,"20,125,350"
NY-NYC ,40.7128,-74.006,35620,2015,"20,215,694"
NY-NYC ,40.7128,-74.006,35620,2016,"20,275,179"
NY-NYC ,40.7128,-74.006,35620,2017,"20,320,876"
CA-LA ,34.0522,-118.2437,31080,1970,"8,488,140"
CA-LA ,34.0522,-118.2437,31080,1971,"8,587,856"
CA-LA ,34.0522,-118.2437,31080,1972,"8,593,411"
CA-LA ,34.0522,-118.2437,31080,1973,"8,647,583"
CA-LA ,34.0522,-118.2437,31080,1974,"8,754,846"
CA-LA ,34.0522,-118.2437,31080,1975,"8,842,481"
CA-LA ,34.0522,-118.2437,31080,1976,"8,984,351"
