Region,Lat,Long,CBSA_Code,Year,Population
NY-NYC Urban,40.7128,-74.006,35620,1970,16881217
NY-NYC Urban,40.7128,-74.006,35620,1971,16941217
NY-NYC Urban,40.7128,-74.006,35620,1972,16873604
NY-NYC Urban,40.7128,-74.006,35620,1973,16694338
NY-NYC Urban,40.7128,-74.006,35620,1974,16559848
NY-NYC Urban,40.7128,-74.006,35620,1975,16465493
NY-NYC Urban,40.7128,-74.006,35620,1976,16381394
NY-NYC Urban,40.7128,-74.006,35620,1977,16235982
NY-NYC Urban,40.7128,-74.006,35620,1978,16105859
NY-NYC Urban,40.7128,-74.006,35620,1979,16021304
NY-NYC Urban,40.7128,-74.006,35620,1980,15986778
NY-NYC Urban,40.7128,-74.006,35620,1981,16007726
NY-NYC Urban,40.7128,-74.006,35620,1982,16038997
NY-NYC Urban,40.7128,-74.006,35620,1983,16158642
NY-NYC Urban,40.7128,-74.006,35620,1984,16244679
NY-NYC Urban,40.7128,-74.006,35620,1985,16304743
NY-NYC Urban,40.7128,-74.006,35620,1986,16369972
NY-NYC Urban,40.7128,-74.006,35620,1987,16406115
NY-NYC Urban,40.7128,-74.006,35620,1988,16433480
NY-NYC Urban,40.7128,-74.006,35620,1989,16409314
NY-NYC Urban,40.7128,-74.006,35620,1990,16410622
NY-NYC Urban,40.7128,-74.006,35620,1991,16493835
NY-NYC Urban,40.7128,-74.006,35620,1992,16621297
NY-NYC Urban,40.7128,-74.006,35620,1993,16768232
NY-NYC Urban,40.7128,-74.006,35620,1994,16890623
NY-NYC Urban,40.7128,-74.006,35620,1995,17015605
NY-NYC Urban,40.7128,-74.006,35620,1996,17140363
NY-NYC Urban,40.7128,-74.006,35620,1997,17283841
NY-NYC Urban,40.7128,-74.006,35620,1998,17445555
NY-NYC Urban,40.7128,-74.006,35620,1999,17621903
NY-NYC Urban,40.7128,-74.006,35620,2000,17775766
NY-NYC Urban,40.7128,-74.006,35620,2001,17885928
NY-NYC Urban,40.7128,-74.006,35620,2002,17950562
NY-NYC Urban,40.7128,-74.006,35620,2003,17986441
NY-NYC Urban,40.7128,-74.006,35620,2004,17980293
NY-NYC Urban,40.7128,-74.006,35620,2005,17945501
NY-NYC Urban,40.7128,-74.006,35620,2006,17910357
NY-NYC Urban,40.7128,-74.006,35620,2007,17940184
NY-NYC Urban,40.7128,-74.006,35620,2008,18037201
NY-NYC Urban,40.7128,-74.006,35620,2009,18163925
NY-NYC Urban,40.7128,-74.006,35620,2010,18294316
NY-NYC Urban,40.7128,-74.006,35620,2011,18453835
NY-NYC Urban,40.7128,-74.006,35620,2012,18590095
NY-NYC Urban,40.7128,-74.006,35620,2013,18714801
NY-NYC Urban,40.7128,-74.006,35620,2014,18817047
NY-NYC Urban,40.7128,-74.006,35620,2015,18907621
NY-NYC Urban,40.7128,-74.006,35620,2016,18966021
NY-NYC Urban,40.7128,-74.006,35620,2017,19005610
CA-LA Urban,34.0522,-118.2437,31080,1970,8488140
CA-LA Urban,34.0522,-118.2437,31080,1971,8587856
CA-LA Urban,34.0522,-118.2437,31080,1972,8593411
CA-LA Urban,34.0522,-118.2437,31080,1973,8647583
CA-LA Urban,34.0522,-118.2437,31080,1974,8754846
CA-LA Urban,34.0522,-118.2437,31080,1975,8842481
CA-LA Urban,34.0522,-118.2437,31080,1976,8984351
CA-LA Urban,34.0522,-118.2437,31080,1977,9063773
CA-LA Urban,34.0522,-118.2437,31080,1978,9204879
CA-LA Urban,34.0522,-118.2437,31080,1979,9292971
CA-LA Urban,34.0522,-118.2437,31080,1980,9450553
CA-LA Urban,34.0522,-118.2437,31080,1981,9613596
CA-LA Urban,34.0522,-118.2437,31080,1982,9813345
CA-LA Urban,34.0522,-118.2437,31080,1983,10009837
CA-LA Urban,34.0522,-118.2437,31080,1984,10165046
CA-LA Urban,34.0522,-118.2437,31080,1985,10354834
CA-LA Urban,34.0522,-118.2437,31080,1986,10622527
CA-LA Urban,34.0522,-118.2437,31080,1987,10835329
CA-LA Urban,34.0522,-118.2437,31080,1988,11000784
CA-LA Urban,34.0522,-118.2437,31080,1989,11177629
CA-LA Urban,34.0522,-118.2437,31080,1990,11297143
CA-LA Urban,34.0522,-118.2437,31080,1991,11400816
CA-LA Urban,34.0522,-118.2437,31080,1992,11552438
CA-LA Urban,34.0522,-118.2437,31080,1993,11632798
CA-LA Urban,34.0522,-118.2437,31080,1994,11663207
CA-LA Urban,34.0522,-118.2437,31080,1995,11692693
CA-LA Urban,34.0522,-118.2437,31080,1996,11771038
CA-LA Urban,34.0522,-118.2437,31080,1997,11915815
CA-LA Urban,34.0522,-118.2437,31080,1998,12086776
CA-LA Urban,34.0522,-118.2437,31080,1999,12253223
CA-LA Urban,34.0522,-118.2437,31080,2000,12392704
CA-LA Urban,34.0522,-118.2437,31080,2001,12511491
CA-LA Urban,34.0522,-118.2437,31080,2002,12614158
CA-LA Urban,34.0522,-118.2437,31080,2003,12696521
CA-LA Urban,34.0522,-118.2437,31080,2004,12734974
CA-LA Urban,34.0522,-118.2437,31080,2005,12726428
CA-LA Urban,34.0522,-118.2437,31080,2006,12670216
CA-LA Urban,34.0522,-118.2437,31080,2007,12631988
CA-LA Urban,34.0522,-118.2437,31080,2008,12692740
CA-LA Urban,34.0522,-118.2437,31080,2009,12774577
CA-LA Urban,34.0522,-118.2437,31080,2010,12841606
CA-LA Urban,34.0522,-118.2437,31080,2011,12939463
CA-LA Urban,34.0522,-118.2437,31080,2012,13041538
CA-LA Urban,34.0522,-118.2437,31080,2013,13132253
CA-LA Urban,34.0522,-118.2437,31080,2014,13209445
CA-LA Urban,34.0522,-118.2437,31080,2015,13283824
CA-LA Urban,34.0522,-118.2437,31080,2016,13328261
CA-LA Urban,34.0522,-118.2437,31080,2017,13353907
IL-Chicago Urban,41.8781,-87.6298,16980,1970,6993310
IL-Chicago Urban,41.8781,-87.6298,16980,1971,7037447
IL-Chicago Urban,41.8781,-87.6298,16980,1972,7035396
IL-Chicago Urban,41.8781,-87.6298,16980,1973,7001982
IL-Chicago Urban,41.8781,-87.6298,16980,1974,6993190
IL-Chicago Urban,41.8781,-87.6298,16980,1975,6987321
IL-Chicago Urban,41.8781,-87.6298,16980,1976,6995579
IL-Chicago Urban,41.8781,-87.6298,16980,1977,7005324
IL-Chicago Urban,41.8781,-87.6298,16980,1978,7001376
IL-Chicago Urban,41.8781,-87.6298,16980,1979,6969074
IL-Chicago Urban,41.8781,-87.6298,16980,1980,6946927
IL-Chicago Urban,41.8781,-87.6298,16980,1981,6930094
IL-Chicago Urban,41.8781,-87.6298,16980,1982,6939477
IL-Chicago Urban,41.8781,-87.6298,16980,1983,6933037
IL-Chicago Urban,41.8781,-87.6298,16980,1984,6946048
IL-Chicago Urban,41.8781,-87.6298,16980,1985,6942931
IL-Chicago Urban,41.8781,-87.6298,16980,1986,6938926
IL-Chicago Urban,41.8781,-87.6298,16980,1987,6943100
IL-Chicago Urban,41.8781,-87.6298,16980,1988,6938950
IL-Chicago Urban,41.8781,-87.6298,16980,1989,6952058
IL-Chicago Urban,41.8781,-87.6298,16980,1990,6970288
IL-Chicago Urban,41.8781,-87.6298,16980,1991,7041238
IL-Chicago Urban,41.8781,-87.6298,16980,1992,7120131
IL-Chicago Urban,41.8781,-87.6298,16980,1993,7185323
IL-Chicago Urban,41.8781,-87.6298,16980,1994,7241967
IL-Chicago Urban,41.8781,-87.6298,16980,1995,7287268
IL-Chicago Urban,41.8781,-87.6298,16980,1996,7334850
IL-Chicago Urban,41.8781,-87.6298,16980,1997,7376161
IL-Chicago Urban,41.8781,-87.6298,16980,1998,7424612
IL-Chicago Urban,41.8781,-87.6298,16980,1999,7469323
IL-Chicago Urban,41.8781,-87.6298,16980,2000,7501603
IL-Chicago Urban,41.8781,-87.6298,16980,2001,7506021
IL-Chicago Urban,41.8781,-87.6298,16980,2002,7487148
IL-Chicago Urban,41.8781,-87.6298,16980,2003,7457269
IL-Chicago Urban,41.8781,-87.6298,16980,2004,7427207
IL-Chicago Urban,41.8781,-87.6298,16980,2005,7391380
IL-Chicago Urban,41.8781,-87.6298,16980,2006,7356940
IL-Chicago Urban,41.8781,-87.6298,16980,2007,7351805
IL-Chicago Urban,41.8781,-87.6298,16980,2008,7369078
IL-Chicago Urban,41.8781,-87.6298,16980,2009,7396437
IL-Chicago Urban,41.8781,-87.6298,16980,2010,7422889
IL-Chicago Urban,41.8781,-87.6298,16980,2011,7442283
IL-Chicago Urban,41.8781,-87.6298,16980,2012,7465264
IL-Chicago Urban,41.8781,-87.6298,16980,2013,7482591
IL-Chicago Urban,41.8781,-87.6298,16980,2014,7487076
IL-Chicago Urban,41.8781,-87.6298,16980,2015,7476614
IL-Chicago Urban,41.8781,-87.6298,16980,2016,7458483
IL-Chicago Urban,41.8781,-87.6298,16980,2017,7435284
TX-Dallas Urban,32.7767,-96.797,19100,1970,2096389
TX-Dallas Urban,32.7767,-96.797,19100,1971,2125802
TX-Dallas Urban,32.7767,-96.797,19100,1972,2125609
TX-Dallas Urban,32.7767,-96.797,19100,1973,2150552
TX-Dallas Urban,32.7767,-96.797,19100,1974,2200139
TX-Dallas Urban,32.7767,-96.797,19100,1975,2242040
TX-Dallas Urban,32.7767,-96.797,19100,1976,2298763
TX-Dallas Urban,32.7767,-96.797,19100,1977,2331444
